iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.937353	0.49196	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.1, ram_factor=0.5, ram_post_fbp_blend=0
2		0.813205	0.462207	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.21102, ram_factor=0.35913, ram_post_fbp_blend=0.078208
3		0.932332	0.453213	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.22102, ram_factor=0.73269, ram_post_fbp_blend=0.0057979
4		0.931988	0.494358	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.085366, ram_factor=0.4834, ram_post_fbp_blend=0.041834
5		0.884123	0.492837	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.075342, ram_factor=0.341, ram_post_fbp_blend=0.041351
6		0.858328	0.435761	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.056943, ram_factor=0.61706, ram_post_fbp_blend=0.17442
7		0.914515	0.493319	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.1349, ram_factor=0.51392, ram_post_fbp_blend=0.14276
8		0.939752	0.483667	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.12734, ram_factor=0.63056, ram_post_fbp_blend=0.092712
9		0.905572	0.486385	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.059832, ram_factor=0.44252, ram_post_fbp_blend=0.054446
10		0.888049	0.4305	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.088705, ram_factor=0.79603, ram_post_fbp_blend=0.12548
11		0.862748	0.489609	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.16088, ram_factor=0.42769, ram_post_fbp_blend=0.19813
12		0.924184	0.491361	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.13433, ram_factor=0.55093, ram_post_fbp_blend=0.13688
13		0.907685	0.487734	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.16845, ram_factor=0.53005, ram_post_fbp_blend=0.13819
14		0.894842	0.460814	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.29831, ram_factor=0.60926, ram_post_fbp_blend=0.050022
15		0.906635	0.497917	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.10125, ram_factor=0.43053, ram_post_fbp_blend=0.11731
16		0.912471	0.49866	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.075062, ram_factor=0.42335, ram_post_fbp_blend=0.10573
17		0.885598	0.486288	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.050391, ram_factor=0.39719, ram_post_fbp_blend=0.11163
18		0.852969	0.492158	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.06981, ram_factor=0.30919, ram_post_fbp_blend=0.16388
19		0.897391	0.495314	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.1008, ram_factor=0.39514, ram_post_fbp_blend=0.086324
20		0.920045	0.497362	keep	architecture	ram-zeroshot-search-tpe-calibrated	random-search	ram-zeroshot-search-tpe-calibrated: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.10452, ram_factor=0.47137, ram_post_fbp_blend=0.10677
