iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.01, tv_lambda_init=0.001, tv_share_steps=False, tv_clip_max=0.05, epochs=10, lr=0.005, lambda_neg=1, loss_base=mse, grad_clip=1
2		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.0073537, tv_lambda_init=0.00012483, tv_share_steps=True, tv_clip_max=0.057373, epochs=14, lr=0.00075437, lambda_neg=1.7442, loss_base=mse, grad_clip=1.1165
3		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.00059169, tv_lambda_init=7.8641e-05, tv_share_steps=True, tv_clip_max=0.076852, epochs=14, lr=0.0014343, lambda_neg=0.623, loss_base=mse, grad_clip=0.67264
4		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.0025696, tv_lambda_init=2.1331e-05, tv_share_steps=False, tv_clip_max=0.096224, epochs=20, lr=0.022546, lambda_neg=1.1031, loss_base=mse, grad_clip=1.3408
5		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.0054704, tv_lambda_init=0.00031354, tv_share_steps=True, tv_clip_max=0.042145, epochs=14, lr=0.0012892, lambda_neg=1.5707, loss_base=l1, grad_clip=1.1735
6		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.07128, tv_lambda_init=0.0055105, tv_share_steps=False, tv_clip_max=0.030998, epochs=5, lr=0.0096681, lambda_neg=0.96861, loss_base=l1, grad_clip=1.8979
7		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.056061, tv_lambda_init=0.0030268, tv_share_steps=False, tv_clip_max=0.059964, epochs=7, lr=0.0055818, lambda_neg=0.50844, loss_base=mse, grad_clip=0.53416
8		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.00014043, tv_lambda_init=0.0013695, tv_share_steps=False, tv_clip_max=0.077618, epochs=9, lr=0.049515, lambda_neg=1.3961, loss_base=mse, grad_clip=1.5461
9		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.013582, tv_lambda_init=0.00092235, tv_share_steps=False, tv_clip_max=0.045823, epochs=11, lr=0.0027829, lambda_neg=1.9953, loss_base=l1, grad_clip=0.87417
10		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.00092903, tv_lambda_init=0.0098288, tv_share_steps=False, tv_clip_max=0.075831, epochs=17, lr=0.010666, lambda_neg=0.86512, loss_base=mse, grad_clip=0.88421
11		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.022239, tv_lambda_init=1.1848e-05, tv_share_steps=True, tv_clip_max=0.049116, epochs=10, lr=0.0029346, lambda_neg=1.3, loss_base=l1, grad_clip=1.7136
12		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.0066644, tv_lambda_init=0.00024118, tv_share_steps=True, tv_clip_max=0.058493, epochs=13, lr=0.00053632, lambda_neg=1.7931, loss_base=mse, grad_clip=1.115
13		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.017218, tv_lambda_init=7.7192e-05, tv_share_steps=True, tv_clip_max=0.06646, epochs=16, lr=0.0005031, lambda_neg=1.5913, loss_base=mse, grad_clip=0.97036
14		0.440157	0	discard	architecture	tv-iterative-supervised-search-tpe-calibrated	random-search	tv-iterative-supervised-search-tpe-calibrated: tv_step_init=0.0016911, tv_lambda_init=9.9981e-05, tv_share_steps=True, tv_clip_max=0.037714, epochs=8, lr=0.0013149, lambda_neg=0.80681, loss_base=mse, grad_clip=1.5357
