iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.782439	0.188695	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0017552, tv_iterations=214, tv_lr=0.040485, tv_clip_max=0.035913, tv_decay=0.019552
2		0.772825	0.218952	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.001526, tv_iterations=90, tv_lr=0.0456, tv_clip_max=0.073269, tv_decay=0.0014495
3		0.405957	0	discard	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.00066376, tv_iterations=166, tv_lr=0.0039546, tv_clip_max=0.04834, tv_decay=0.010459
4		0.483615	0	discard	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0021809, tv_iterations=311, tv_lr=0.0028686, tv_clip_max=0.0341, tv_decay=0.010338
5		0.405635	0	discard	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0001565, tv_iterations=101, tv_lr=0.0087078, tv_clip_max=0.035484, tv_decay=0.021225
6		0.863406	0.396782	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.007661, tv_iterations=462, tv_lr=0.081192, tv_clip_max=0.079381, tv_decay=0.044912
7		0.856692	0.389489	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0093631, tv_iterations=500, tv_lr=0.080872, tv_clip_max=0.076596, tv_decay=0.04995
8		0.439403	0.0128331	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.007283, tv_iterations=489, tv_lr=0.0010175, tv_clip_max=0.064412, tv_decay=0.046138
9		0.439825	0.010118	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.00039197, tv_iterations=367, tv_lr=0.018583, tv_clip_max=0.060483, tv_decay=0.037054
10		0.756377	0.208022	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.003763, tv_iterations=397, tv_lr=0.017772, tv_clip_max=0.049605, tv_decay=0.03522
11		0.868268	0.402504	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0048465, tv_iterations=418, tv_lr=0.092505, tv_clip_max=0.079239, tv_decay=0.03401
12		0.868502	0.404488	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0048005, tv_iterations=405, tv_lr=0.07745, tv_clip_max=0.079842, tv_decay=0.034544
13		0.870587	0.405578	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0035562, tv_iterations=382, tv_lr=0.099389, tv_clip_max=0.068964, tv_decay=0.0306
14		0.823697	0.310286	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0032409, tv_iterations=322, tv_lr=0.038424, tv_clip_max=0.067499, tv_decay=0.027821
15		0.534881	0.0616082	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.00086869, tv_iterations=261, tv_lr=0.021931, tv_clip_max=0.070437, tv_decay=0.027973
16		0.601736	0.0882187	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0035838, tv_iterations=349, tv_lr=0.0094037, tv_clip_max=0.058147, tv_decay=0.041016
17		0.829148	0.328061	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0022993, tv_iterations=426, tv_lr=0.057085, tv_clip_max=0.065446, tv_decay=0.030962
18		0.513986	0.0528004	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.00049702, tv_iterations=284, tv_lr=0.027393, tv_clip_max=0.073504, tv_decay=0.022217
19		0.688276	0.139381	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0053521, tv_iterations=374, tv_lr=0.0051535, tv_clip_max=0.052224, tv_decay=0.014318
20		0.799014	0.25118	keep	architecture	tv-search-tpe-calibrated	random-search	tv-search-tpe-calibrated: tv_lambda=0.0011535, tv_iterations=236, tv_lr=0.098767, tv_clip_max=0.042819, tv_decay=0.038225
