iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.766266	0.482731	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=11, lr=0.00023197, batch_size=2, uswin_c=32, swin_window=4, swin_heads=8
2		0.74028	0.483297	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=7, lr=0.000467, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
5		0.665041	0.464706	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=8, lr=0.00033666, batch_size=2, uswin_c=16, swin_window=8, swin_heads=4
6		0.698141	0.43934	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=6, lr=0.00081984, batch_size=4, uswin_c=24, swin_window=4, swin_heads=2
9		0.74786	0.469445	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=8, lr=0.0005172, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
10		0.850708	0.486827	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=14, lr=0.00048446, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
11		0.827171	0.484948	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=14, lr=0.00014358, batch_size=4, uswin_c=24, swin_window=8, swin_heads=2
16		0.846362	0.488172	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=13, lr=0.00039202, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
17		0.812544	0.487272	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=12, lr=0.00038653, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
18		0.847122	0.490865	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=12, lr=0.00037474, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
19		0.764481	0.485112	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=11, lr=0.00036094, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
20		0.832853	0.488145	keep	architecture	uswin-search-tpe-calibrated	random-search	uswin-search-tpe-calibrated: epochs=13, lr=0.00063654, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
