iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.542677	0.219006	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=10, lr=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, loss_base=mse, lambda_neg=1, val_n=20
2		0.477706	0.121182	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=13, lr=0.0004177, batch_size=1, wu_n_bands=6, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.00080936, loss_base=mse, lambda_neg=0.72884, val_n=20
3		0.527884	0.191115	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=6, lr=0.00022453, batch_size=2, wu_n_bands=4, wu_n_outer=2, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0018176, loss_base=mse, lambda_neg=1.4205, val_n=20
4		0.541156	0.214308	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=8, lr=0.00019713, batch_size=1, wu_n_bands=4, wu_n_outer=1, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0013217, loss_base=l1, lambda_neg=1.1261, val_n=20
5		0.535062	0.207637	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=7, lr=0.0012908, batch_size=2, wu_n_bands=4, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0034436, loss_base=mse, lambda_neg=1.2287, val_n=20
6		0.569851	0.211446	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=18, lr=0.0035678, batch_size=1, wu_n_bands=8, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.00051229, loss_base=l1, lambda_neg=0.76894, val_n=20
7		0.552865	0.221199	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=12, lr=0.0012441, batch_size=1, wu_n_bands=6, wu_n_outer=2, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.0043288, loss_base=mse, lambda_neg=0.53112, val_n=20
8		0.549785	0.221401	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=14, lr=0.0037337, batch_size=1, wu_n_bands=6, wu_n_outer=2, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.0048087, loss_base=mse, lambda_neg=0.52927, val_n=20
9		0.571185	0.2281	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=16, lr=0.0036779, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0026215, loss_base=l1, lambda_neg=0.50184, val_n=20
10		0.558329	0.216799	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=18, lr=0.0021651, batch_size=2, wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0025822, loss_base=l1, lambda_neg=0.82479, val_n=20
11		0.570844	0.227547	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=15, lr=0.0049555, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0024866, loss_base=l1, lambda_neg=1.4873, val_n=20
12		0.570907	0.227739	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=15, lr=0.0044232, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0024393, loss_base=l1, lambda_neg=1.4429, val_n=20
13		0.571205	0.228533	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=16, lr=0.0022014, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0022679, loss_base=l1, lambda_neg=1.2902, val_n=20
14		0.571193	0.228752	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=16, lr=0.0019493, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0011671, loss_base=l1, lambda_neg=1.1673, val_n=20
15		0.565133	0.227555	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=10, lr=0.00053127, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0010442, loss_base=l1, lambda_neg=1.2482, val_n=20
16		0.571347	0.228765	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=17, lr=0.0019114, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.00086423, loss_base=l1, lambda_neg=1.2974, val_n=20
17		0.558434	0.217257	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=17, lr=0.0017611, batch_size=2, wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.00072649, loss_base=l1, lambda_neg=1.0655, val_n=20
18		0.568824	0.228398	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=13, lr=0.00075604, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0010919, loss_base=l1, lambda_neg=0.92782, val_n=20
19		0.54672	0.222868	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=18, lr=0.00010202, batch_size=2, wu_n_bands=6, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.00068232, loss_base=l1, lambda_neg=1.3527, val_n=20
20		0.55826	0.217014	keep	architecture	wu-2015-trainable-search-tpe-calibrated	random-search	wu-2015-trainable-search-tpe-calibrated: epochs=16, lr=0.0023937, batch_size=2, wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.00098004, loss_base=l1, lambda_neg=1.163, val_n=20
