iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.466599	0.205714	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.00080936
2		0.47044	0.226021	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=4, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0012618
3		0.447518	0.20725	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=12, wu_n_outer=2, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.00075748
4		0.456265	0.207218	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=2, wu_motion_range=12, wu_motion_window=4, wu_soft_thresh=0.00093529
5		0.428507	0.196672	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.0014634
6		0.43764	0.199338	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=4, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0039556
7		0.442914	0.189872	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=4, wu_n_outer=3, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0027308
8		0.547338	0.233403	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0017468
9		0.552091	0.232864	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0023594
10		0.398055	0.174802	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=3, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.00050877
11		0.553575	0.225761	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=12, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0021898
12		0.551916	0.233706	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0022511
13		0.550441	0.22343	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0034306
14		0.550632	0.236534	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0018666
15		0.533593	0.237824	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0018423
16		0.504605	0.205643	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0049717
17		0.4336	0.190493	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.001158
18		0.533805	0.238264	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0017821
19		0.525115	0.227922	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0030132
20		0.466583	0.195912	keep	architecture	wu-search-tpe-calibrated	random-search	wu-search-tpe-calibrated: wu_n_bands=6, wu_n_outer=3, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.001504
