iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.490169	0.126154	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=10, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=40, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.532982	0.14168	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=0.51719, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.487979	0.133018	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=2.1189, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.51338	0.163209	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.5188, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.478777	0.0555486	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=7.7868, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.515381	0.161295	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.0992, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.458614	0.0523768	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=29.861, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.500678	0.155027	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=0.33556, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.512114	0.145258	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=3.1154, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=10, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.514941	0.160644	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.0343, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
11		0.486786	0.129063	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=4.0899, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.95, val_n=5, val_chunk=1, train_n=50, batch_size=1
12		0.515301	0.161232	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.085, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
13		0.51565	0.161146	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.1371, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
14		0.514396	0.162983	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.7668, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
15		0.513265	0.159652	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=2.1064, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
16		0.467477	0.0827193	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=6.4171, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
17		0.512638	0.162698	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=0.55109, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=25, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
18		0.515308	0.15633	keep	architecture	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-constrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.7527, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
