iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.524457	0.234313	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.52892	0.0882124	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=0.51719, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.504359	0.116012	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=2.1189, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.51875	0.189973	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=1.5188, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.51499	0.0743208	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=7.7868, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.517472	0.23708	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=0.40495, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.505129	0.0666852	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=29.861, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.53177	0.208322	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=0.31776, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=15, recon_dcstep_warmup=10, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.513001	0.152489	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=5.7164, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.523529	0.215558	keep	architecture	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d	random-search	diff-recon-dcstep-unconstrained-mayo-v4-search-tpe-calibrated-mayo-ldct-2d: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_unconstrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=0.70234, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=1, val_n=5, val_chunk=1, train_n=50, batch_size=1
