iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.506911	0.019558	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=9, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_sx=0.5, img_sr=0.02, epochs=10, lr=0.005, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.475179	0.00101824	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=3, img_n_bf=7, proj_kernel=5, img_kernel=9, proj_sx=0.02335, proj_sy=0.38986, proj_sr=0.00019848, img_sx=0.3574, img_sr=0.0080487, epochs=5, lr=0.002407, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.497712	0.0119745	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=5, img_n_bf=2, proj_kernel=5, img_kernel=9, proj_sx=0.0074553, proj_sy=0.40438, proj_sr=0.00018518, img_sx=0.79964, img_sr=0.007928, epochs=9, lr=0.0041198, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.517332	0.0289602	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0093529, proj_sy=0.38828, proj_sr=0.00056215, img_sx=0.35484, img_sr=0.013655, epochs=11, lr=0.0084069, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.493441	0.00966039	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=3, img_n_bf=5, proj_kernel=5, img_kernel=5, proj_sx=0.028334, proj_sy=0.17061, proj_sr=0.00013939, img_sx=0.39214, img_sr=0.010518, epochs=9, lr=0.0050592, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.517845	0.0295112	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=2, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0051209, proj_sy=0.58207, proj_sr=0.001994, img_sx=0.66321, img_sr=0.042746, epochs=12, lr=0.0089464, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.496401	0.0119687	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=2, img_n_bf=1, proj_kernel=3, img_kernel=11, proj_sx=0.0050347, proj_sy=0.5557, proj_sr=0.0018979, img_sx=0.99728, img_sr=0.049514, epochs=12, lr=0.0093236, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.497034	0.012009	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=7, proj_sx=0.049414, proj_sy=0.59154, proj_sr=0.0019109, img_sx=0.66841, img_sr=0.047005, epochs=6, lr=0.0069891, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.498943	0.0127113	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=2, img_n_bf=5, proj_kernel=3, img_kernel=11, proj_sx=0.015984, proj_sy=0.49301, proj_sr=0.001021, img_sx=0.67001, img_sr=0.025428, epochs=7, lr=0.0026616, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.515717	0.0273716	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=2, img_n_bf=7, proj_kernel=3, img_kernel=7, proj_sx=0.0051015, proj_sy=0.10451, proj_sr=0.00092171, img_sx=0.85318, img_sr=0.0050584, epochs=12, lr=0.006672, val_n=5, val_chunk=1, train_n=50, batch_size=1
11		0.472185	0	discard	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-mayo-ldct-2d: proj_n_bf=5, img_n_bf=2, proj_kernel=5, img_kernel=5, proj_sx=0.014294, proj_sy=0.27043, proj_sr=0.00030631, img_sx=0.51752, img_sr=0.030537, epochs=8, lr=0.003456, val_n=5, val_chunk=1, train_n=50, batch_size=1
