iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.596719	0.358913	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=10, lr=0.0005, batch_size=1, lambda_neg=1, val_n=5
2		0.568334	0.305464	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=16, lr=0.00024193, batch_size=2, lambda_neg=0.58931, val_n=5
6		0.576741	0.262322	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=11, lr=0.00090821, batch_size=1, lambda_neg=1.2468, val_n=5
7		0.561896	0.237675	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=18, lr=0.00072698, batch_size=1, lambda_neg=1.0116, val_n=5
8		0.554203	0.210512	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=12, lr=0.00061501, batch_size=1, lambda_neg=1.0239, val_n=5
9		0.593792	0.376896	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=10, lr=0.00055015, batch_size=1, lambda_neg=0.85662, val_n=5
10		0.58931	0.364941	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=14, lr=0.00051781, batch_size=1, lambda_neg=0.77614, val_n=5
12		0.597725	0.388954	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=14, lr=0.00053896, batch_size=1, lambda_neg=0.78668, val_n=5
13		0.586072	0.290216	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=15, lr=0.00065068, batch_size=1, lambda_neg=0.78164, val_n=5
14		0.574679	0.310162	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=17, lr=0.00033259, batch_size=1, lambda_neg=0.50109, val_n=5
15		0.587148	0.327598	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=13, lr=0.00052821, batch_size=1, lambda_neg=0.83491, val_n=5
16		0.504532	0.169057	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=10, lr=0.00074127, batch_size=1, lambda_neg=0.6956, val_n=5
17		0.557987	0.328996	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=8, lr=0.00020074, batch_size=1, lambda_neg=1.1322, val_n=5
18		0.57635	0.330144	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=12, lr=0.00044514, batch_size=1, lambda_neg=0.90116, val_n=5
20		0.587135	0.372836	keep	architecture	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d	random-search	dual-domain-supervised-search-tpe-calibrated-mayo-ldct-2d: unet_c=16, epochs=10, lr=0.00033738, batch_size=1, lambda_neg=0.91208, val_n=5
