iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.291185	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=9, lr=9.6236e-05, batch_size=1, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.00032714, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
2		0.354142	0.000569416	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=7, lr=9.6469e-05, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00016571, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
3		0.357473	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=8, lr=0.00012852, batch_size=1, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0069358, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
4		0.25978	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=6, lr=6.823e-05, batch_size=1, vn_T=7, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00036335, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
5		0.284887	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=5, lr=6.3143e-05, batch_size=1, vn_T=3, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0003499, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
6		0.40868	0.0550955	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=12, lr=0.00025703, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0023183, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
7		0.321708	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=12, lr=0.00027615, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0031559, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
8		0.2886	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=12, lr=0.00029256, batch_size=1, vn_T=7, vn_n_filters=16, vn_kernel=9, vn_lambda_init=0.0015633, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
9		0.374602	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=11, lr=0.00018864, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0099534, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
10		0.374104	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=10, lr=0.00017231, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0016032, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
11		0.345321	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=10, lr=0.00020521, batch_size=1, vn_T=3, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0029912, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
12		0.353245	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=7, lr=9.4472e-05, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00013355, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
13		0.381952	0.0338487	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=8, lr=0.00012635, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00011128, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
14		0.375033	0.00532785	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=9, lr=0.00014235, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00070103, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
15		0.37859	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=8, lr=5.2344e-05, batch_size=1, vn_T=5, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.00088164, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
16		0.294559	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=10, lr=0.00023801, batch_size=1, vn_T=7, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.003899, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
17		0.377086	0.0289938	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=7, lr=0.00016245, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00010198, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
18		0.371346	0.0102879	keep	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=11, lr=0.00011117, batch_size=1, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0015681, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
19		0.309364	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=5, lr=7.5762e-05, batch_size=1, vn_T=7, vn_n_filters=32, vn_kernel=9, vn_lambda_init=0.00047947, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
20		0.317831	0	discard	architecture	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-vn-search-tpe-calibrated-mayo-ldct-2d: epochs=11, lr=0.00023471, batch_size=1, vn_T=3, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.00021411, vn_init=fbp, val_n=5, val_chunk=1, train_n=50
