iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.203084	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=6, pretrain_lr=0.0004177, itnet_k=2, itnet_alpha_init=0.0046171, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.298537	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.002953, itnet_k=3, itnet_alpha_init=0.0027369, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.203642	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=4, pretrain_lr=0.0013714, itnet_k=2, itnet_alpha_init=0.0013782, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.26344	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=3, pretrain_lr=0.00062869, itnet_k=3, itnet_alpha_init=0.0078554, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.216958	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.000482, itnet_k=2, itnet_alpha_init=0.0089605, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.20795	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=5, pretrain_lr=0.00014147, itnet_k=2, itnet_alpha_init=0.040329, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.20444	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=8, pretrain_lr=0.00016701, itnet_k=2, itnet_alpha_init=0.03328, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.207126	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=6, pretrain_lr=0.00032534, itnet_k=2, itnet_alpha_init=0.0043275, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.265591	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=5, pretrain_lr=0.0015914, itnet_k=3, itnet_alpha_init=0.016762, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.204414	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=6, pretrain_lr=0.00025714, itnet_k=2, itnet_alpha_init=0.0010628, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
11		0.29643	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=8, pretrain_lr=0.0049008, itnet_k=3, itnet_alpha_init=0.002446, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
12		0.298537	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.004046, itnet_k=3, itnet_alpha_init=0.0031436, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
13		0.302591	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.0012663, itnet_k=3, itnet_alpha_init=0.0045466, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
14		0.298537	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=6, pretrain_lr=0.0026952, itnet_k=3, itnet_alpha_init=0.001945, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
15		0.221248	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.00089831, itnet_k=2, itnet_alpha_init=0.013845, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
16		0.286692	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=5, pretrain_lr=0.00039967, itnet_k=3, itnet_alpha_init=0.0045633, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
17		0.297562	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=8, pretrain_lr=0.0026187, itnet_k=3, itnet_alpha_init=0.001617, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
18		0.220494	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=4, pretrain_lr=0.00021273, itnet_k=2, itnet_alpha_init=0.0028181, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
19		0.279854	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=6, pretrain_lr=0.00076721, itnet_k=3, itnet_alpha_init=0.012295, residual_learning=False, val_n=5, val_chunk=1, train_n=50, batch_size=1
20		0.203133	0	discard	architecture	itnet-v2-search-tpe-calibrated-mayo-ldct-2d	random-search	itnet-v2-search-tpe-calibrated-mayo-ldct-2d: pretrain_epochs=7, pretrain_lr=0.0020878, itnet_k=2, itnet_alpha_init=0.0059405, residual_learning=True, val_n=5, val_chunk=1, train_n=50, batch_size=1
