iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.539208	0.169887	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=8, lr=0.0005, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
2		0.522994	0.211991	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=8, lr=0.00051839, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
3		0.524923	0.204583	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=3, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=7, lr=0.00028005, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
4		0.518274	0.2171	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=3, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=8, lr=0.00023861, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
5		0.576257	0.299658	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=7, lr=0.00049298, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
6		0.617555	0.306348	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=12, lr=0.0009495, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
7		0.601436	0.227663	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=12, lr=0.00089623, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
8		0.600877	0.265269	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=12, lr=0.00097786, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
9		0.548266	0.22412	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=3, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=10, lr=0.00069788, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
10		0.429191	0.0960551	keep	architecture	lpd-search-tpe-calibrated-mayo-ldct-2d	random-search	lpd-search-tpe-calibrated-mayo-ldct-2d: lpd_iters=2, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=5, lr=0.00033293, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=5, val_chunk=1, train_n=50
