iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.417219	0.00545392	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=10, naf_hidden=256, naf_layers=4, naf_n_iter=2143, naf_lr=0.0012229, naf_tv_weight=1.26e-05, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.496082	0.00948204	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=2817, naf_lr=0.0085079, naf_tv_weight=0.00072454, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.488124	0.0052739	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=2014, naf_lr=0.0042423, naf_tv_weight=3.9864e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.462979	0.00206313	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=6, naf_hidden=128, naf_layers=4, naf_n_iter=3065, naf_lr=0.00091275, naf_tv_weight=9.1519e-05, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.458887	0.0086992	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=10, naf_hidden=128, naf_layers=5, naf_n_iter=1578, naf_lr=0.0061558, naf_tv_weight=0.00010021, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.491384	0.0131442	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=192, naf_layers=4, naf_n_iter=3909, naf_lr=0.0088605, naf_tv_weight=0.00090608, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.474182	0	discard	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=192, naf_layers=6, naf_n_iter=3998, naf_lr=0.0028128, naf_tv_weight=0.00084376, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.410238	0	discard	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=192, naf_layers=5, naf_n_iter=3972, naf_lr=0.00055383, naf_tv_weight=1.7661e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.484277	0.00272156	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=12, naf_hidden=192, naf_layers=4, naf_n_iter=3424, naf_lr=0.0027401, naf_tv_weight=0.00014748, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.496054	0	discard	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=192, naf_layers=4, naf_n_iter=3465, naf_lr=0.0095544, naf_tv_weight=2.5395e-05, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
11		0.461361	0.00175307	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=12, naf_hidden=192, naf_layers=5, naf_n_iter=2365, naf_lr=0.0017139, naf_tv_weight=0.00025314, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
12		0.498397	0.00733989	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=2638, naf_lr=0.009005, naf_tv_weight=0.00079734, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
13		0.490282	0.00585339	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=3113, naf_lr=0.0050778, naf_tv_weight=0.00039955, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
14		0.489472	0.0026527	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=3589, naf_lr=0.0067733, naf_tv_weight=0.00090035, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
15		0.481566	0.00961802	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=256, naf_layers=4, naf_n_iter=2868, naf_lr=0.0041812, naf_tv_weight=4.4527e-05, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
16		0.465988	0.0104337	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=256, naf_layers=6, naf_n_iter=1532, naf_lr=0.0036781, naf_tv_weight=3.5209e-05, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
17		0.431459	0.0124809	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=256, naf_layers=6, naf_n_iter=1508, naf_lr=0.0020153, naf_tv_weight=7.0232e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
18		0.455614	0.00507722	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=256, naf_layers=6, naf_n_iter=1908, naf_lr=0.0015972, naf_tv_weight=8.1304e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
19		0.456366	0.00420028	keep	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=14, naf_hidden=192, naf_layers=6, naf_n_iter=2482, naf_lr=0.0021502, naf_tv_weight=1.8469e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
20		0.438799	0	discard	architecture	naf-search-tpe-calibrated-mayo-ldct-2d	random-search	naf-search-tpe-calibrated-mayo-ldct-2d: naf_n_freqs=12, naf_hidden=256, naf_layers=6, naf_n_iter=3678, naf_lr=0.0010378, naf_tv_weight=4.4758e-06, naf_outer_wall_s=2400, val_n=5, val_chunk=1, train_n=50, batch_size=1
