iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.50491	0.00622882	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0017552, tv_iterations=214, tv_lr=0.040485, tv_clip_max=0.035913, tv_decay=0.019552, val_n=5, val_chunk=1, train_n=50, batch_size=1
2		0.499756	0.00063257	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.001526, tv_iterations=90, tv_lr=0.0456, tv_clip_max=0.073269, tv_decay=0.0014495, val_n=5, val_chunk=1, train_n=50, batch_size=1
3		0.368082	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.00066376, tv_iterations=166, tv_lr=0.0039546, tv_clip_max=0.04834, tv_decay=0.010459, val_n=5, val_chunk=1, train_n=50, batch_size=1
4		0.436603	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0021809, tv_iterations=311, tv_lr=0.0028686, tv_clip_max=0.0341, tv_decay=0.010338, val_n=5, val_chunk=1, train_n=50, batch_size=1
5		0.354539	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0001565, tv_iterations=101, tv_lr=0.0087078, tv_clip_max=0.035484, tv_decay=0.021225, val_n=5, val_chunk=1, train_n=50, batch_size=1
6		0.540691	0.0464093	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0077003, tv_iterations=462, tv_lr=0.081192, tv_clip_max=0.056541, tv_decay=0.044912, val_n=5, val_chunk=1, train_n=50, batch_size=1
7		0.542601	0.0503607	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0093632, tv_iterations=500, tv_lr=0.080872, tv_clip_max=0.064751, tv_decay=0.04995, val_n=5, val_chunk=1, train_n=50, batch_size=1
8		0.392766	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0072701, tv_iterations=489, tv_lr=0.0010175, tv_clip_max=0.07885, tv_decay=0.04835, val_n=5, val_chunk=1, train_n=50, batch_size=1
9		0.390602	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.00035031, tv_iterations=361, tv_lr=0.018599, tv_clip_max=0.064713, tv_decay=0.037054, val_n=5, val_chunk=1, train_n=50, batch_size=1
10		0.497614	0	discard	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.003763, tv_iterations=397, tv_lr=0.017787, tv_clip_max=0.063269, tv_decay=0.03522, val_n=5, val_chunk=1, train_n=50, batch_size=1
11		0.538468	0.0511449	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0095781, tv_iterations=251, tv_lr=0.092505, tv_clip_max=0.046719, tv_decay=0.033121, val_n=5, val_chunk=1, train_n=50, batch_size=1
12		0.539363	0.0487028	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0093543, tv_iterations=262, tv_lr=0.07745, tv_clip_max=0.047303, tv_decay=0.032832, val_n=5, val_chunk=1, train_n=50, batch_size=1
13		0.530864	0.0297654	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0040017, tv_iterations=290, tv_lr=0.099661, tv_clip_max=0.046761, tv_decay=0.042701, val_n=5, val_chunk=1, train_n=50, batch_size=1
14		0.520781	0.0190156	keep	architecture	tv-search-tpe-calibrated-mayo-ldct-2d	random-search	tv-search-tpe-calibrated-mayo-ldct-2d: tv_lambda=0.0047097, tv_iterations=404, tv_lr=0.037241, tv_clip_max=0.055982, tv_decay=0.027958, val_n=5, val_chunk=1, train_n=50, batch_size=1
