iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.462133	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=5, lr=0.00019, batch_size=1, unet_c=16, train_n=50, val_n=5, rationale=iter-1 phase-4 retry: demo-DL TPE winner (ep=5, lr=1.9e-4, c=16, hr=0.3811). Hypothesis: N2I supervision floor was hit too fast at Step-2's lr=5e-4 + ep=3; lower lr + slightly more epochs may let it climb.
2		0.458989	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=8, lr=5e-05, batch_size=1, unet_c=24, train_n=50, val_n=5, rationale=iter-2: KNOB=unet_c: 16→24 + lr 1.9e-4 → 5e-5. iter-1 hr=0, SSIM=0.462 (well below FBP). Hypothesis: N2I noise floor was hit at the supervision level; more UNet capacity + 4× lower lr may catch a working corner before the floor traps it.
3		0.471837	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=15, lr=0.0005, batch_size=1, unet_c=8, train_n=50, val_n=5, rationale=iter-3: KNOB=unet_c: 24→8 + ep 8→15 + lr 5e-5→5e-4. iter-1 (c=16) iter-2 (c=24) both stuck at SSIM~0.46. Hypothesis: maybe N2I needs LESS capacity (c=8, very lightweight) so it can't overfit to noise floor, but MORE epochs at HIGHER lr to converge. Architecturally distinct from prior iters.
4		0.465945	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=25, lr=0.0005, batch_size=1, unet_c=32, train_n=50, val_n=5, rationale=iter-4: KNOB=unet_c: 8→32 + ep 15→25. iter-1 (c=16) iter-2 (c=24) iter-3 (c=8) all stuck SSIM 0.46-0.47. Hypothesis: N2I floor is structural to the ½N2I↔½N2I supervision rather than capacity; try MAX capacity (c=32) at high lr + many epochs — if this also stalls at 0.47, the N2I noise floor is the binding constraint on Mayo.
5		0.466612	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=30, lr=0.001, batch_size=1, unet_c=32, train_n=50, val_n=5, rationale=iter-5: KNOB=lr: 5e-4→1e-3 + ep 25→30. iter-4 (c=32, ep=25, lr=5e-4) SSIM 0.466 — confirmed structural floor at SSIM ~0.47 across c ∈ {8,16,24,32}. Hypothesis: maybe lr too low for c=32; doubling lr + 5 more ep at the max capacity is the last lever before declaring N2I structurally bounded on Mayo.
6			0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=15, lr=0.002, batch_size=4, unet_c=24, train_n=50, val_n=5, rationale=iter-6: KNOB=batch_size: 1→4 + lr 1e-3→2e-3 + c=24. iter-1..5 tried c ∈ {8,16,24,32} + lr ∈ {5e-5..1e-3} all at batch_size=1, SSIM stuck 0.46-0.47. Hypothesis: batch=1 may amplify N2I noise — batch=4 gives smoother gradient estimates that may push past the floor, even if marginal capacity (c=24).
7		0.457993	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=30, lr=0.005, batch_size=1, unet_c=24, train_n=50, val_n=5, rationale=iter-7: KNOB=lr: 1e-3→5e-3 (5×) + revert batch=1. iter-6 (batch=4) CRASHED in 5.7s (likely shape mismatch in N2I split-collate). Revert batch=1, try EXTREME lr (5e-3, 50× iter-2's 5e-5). Hypothesis: c=8/16/24/32 all stuck SSIM 0.46-0.47 at conservative lr — push lr to the edge of stability (5e-3) to test if the N2I noise floor is escapable by aggressive optimizer.
8		0.46881	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=50, lr=0.0001, batch_size=1, unet_c=24, train_n=50, val_n=5, rationale=iter-8: KNOB=epochs: 30→50 + lr 5e-3→1e-4 (different family: LONG patient training). iter-1..7 swept c, lr ∈ {5e-5..5e-3}, batch=1/4, all stuck SSIM 0.46-0.47. Hypothesis: aggressive lr can't break N2I noise floor; conservative long-training (50 ep at 1e-4) may eventually distill clean signal — test the OPPOSITE optimizer regime.
9		0.470839	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=80, lr=5e-05, batch_size=1, unet_c=24, train_n=50, val_n=5, rationale=iter-9: KNOB=epochs: 50→80 + lr 1e-4→5e-5 (super-patient training). iter-8 (50 ep, lr=1e-4) SSIM 0.469 — best yet, inching toward the FBP baseline ~0.47. Hypothesis: with slow lr + long training, N2I supervision may distill clean signal — 80 ep × 50 train slabs = 4000 gradient steps at lr=5e-5 = effectively 50 ep at lr=1e-4 but with finer steps.
11		0.467419	0	discard	architecture	dual_domain-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain-claude-agentic: epochs=100, lr=5e-05, batch_size=1, unet_c=24, train_n=50, val_n=5, rationale=iter-11: KNOB=epochs: 120→100 (revert from TIMEOUT). iter-10 (ep=120, lr=5e-5) timed out at ep 105/120 with loss=0.00001 — model converged but val pass didn't complete. Hypothesis: ep=100 fits walltime + lets val pass run; extrapolating from iter-8 (50/0.466) → iter-9 (80/0.471) → iter-10 (105/~0.475 estimated), ep=100 should land hr just above 0 if SSIM crosses 0.473.
