iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.667779	0.0598025	keep	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=100, recon_eta=10.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-1 (campaign onboard, LAST of 19): diffusion_recon DPS+DC vs REUSED Mayo DDPM v4 CONSTRAINED prior under search-20260614-01. Same hyperparams as uncon iter-1 (eta=10/dcstep/val_n=20/steps=100). Hyp: hard-DC constrained prior clears FBP
2		0.650885	0.0586031	keep	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=10.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-2 (toward 20): sample_steps 100->200 (same under-sampling fix as uncon; v3-winner used 200 - 100 steps degrade DPS+hard-DC quality)
3		0.719785	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=10.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-3 (toward 20): GEOMETRY-FIX re-run at eta=10/steps=200 (CODE change: added single-val-ps probe - prior iters used wrong ps 0.700857 vs L277 native 0.74, tanking baseline PSNR to 19.65 + corrupting DPS physics. Expect baseline ~36 + much better recon now that geom is correct)
4		0.768024	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=20.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-4 (toward 20): recon_eta 10->20 at fixed geom (con eta=10=0.72 < uncon eta=20=0.787; match the uncon eta - does the constrained hard-DC variant also prefer bolder eta?)
5		0.803434	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=30.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-5 (toward 20): recon_eta 20->30 (con eta climbing: 10=0.72, 20=0.768; push further - find the eta peak for the constrained variant even though ceiling < FBP)
6		0.8263	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=40.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-6 (toward 20): recon_eta 30->40 (constrained climbing: 10=0.72, 20=0.768, 30=0.8034; push to find the eta peak - best diffusion variant, approaching FBP 0.94)
7		0.845154	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=60.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-7 (toward 20): recon_eta 40->60 (constrained climbing monotonically: 10=0.72,20=0.768,30=0.803,40=0.826; jump to 60 to locate the plateau - best diffusion variant, closing on FBP 0.94)
8		0.840301	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=90.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-8: eta 60->90 (constrained climbing 40=0.826,60=0.845; push for plateau)
9		0.835085	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=60.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=8, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-9 (toward 20): dcstep_every 3->8 at eta=60 optimum (eta peaked 60=0.845; apply uncon gentler-DC insight - uncon peaked at every=12; does con gain from less frequent DC too?)
10		0.845851	0	discard	architecture	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic-breast-ct	claude-opus-4.7-1m	diffusion_recon_dcstep_constrained_mayo_v4-claude-agentic: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_mayo_constrained_v4.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=60.0, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1.0, val_n=20, train_n=0, seed=42, rationale=iter-10 (toward 20): recon_dcstep_n_cg 10->20 at the eta=60/every=3 peak (eta peaked 60=0.8452@7; pushing eta to 90 over-shot 0.840 and loosening DC to every=8 dropped to 0.835 - both axes exhausted at the peak). Hyp STRONGER-DC-SOLVE: the hard-DC CG inner solve is under-converged at n_cg=10; doubling CG iters drives each hard projection closer to exact measurement consistency, tightening the data term the constrained variant depends on, lifting SSIM above the 0.845 eta-plateau without touching eta or DC frequency.
