iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.95015	0.0492686	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-1 feasibility: DD-BF (CONFIG default BF stack) lr=5e-3 + grad-clip + per-sample pipe.R_full, train_n=200 stratified. Hypothesis: bilateral stack trains stably; expect modest SSIM (weak family, demo_dl hr 0.263).
2		0.949511	0.0431222	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.01, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-2 KNOB=lr 5e-3->1e-2. Trajectory: iter-1 lr=5e-3 -> SSIM 0.9501 hr 0.0493, but img-BF sigmas were still climbing at ep8 (under-converged). Hypothesis: higher lr converges the sigmas within 8 epochs -> higher SSIM.
3		0.933323	0	discard	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, img_n_bf=15, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-3 KNOB=img_n_bf ->15 (revert lr 1e-2->5e-3, which dropped 0.9501->0.9495). Traj: lr5e-3 0.9501, lr1e-2 0.9495. Hypothesis: more image bilateral filters add denoising capacity -> higher SSIM.
4		0.949489	0.0440216	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, epochs=16, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-4 KNOB=epochs 8->16 (keep iter-1 best lr=5e-3 + default img_n_bf; lr=1e-2 and img_n_bf=15 both hurt). Traj: ep8 0.9501. Hypothesis: img-BF sigmas were still climbing at ep8; 16 epochs converge them -> higher SSIM.
5		0.935171	0	discard	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, img_kernel=9, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-5 KNOB=img_kernel 7->9 (revert epochs=16). Best 0.9502. Hyp: wider bilateral kernel captures more spatial context -> higher SSIM.
6		0.95015	0.0492685	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, proj_n_bf=3, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-6 KNOB=proj_n_bf 1->3 (revert img_kernel=9). Best 0.9502. Hyp: more sinogram-domain bilateral filters denoise the projections before FBP -> higher SSIM.
7		0.94968	0.0449786	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.008, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-7 KNOB=lr 5e-3->8e-3 (revert proj_n_bf=3). Best 0.9502 (capped ~0.95, 6 params). Hyp: lr between 5e-3 (best) and 1e-2 (worse) may edge higher.
8		0.949021	0.0297285	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, epochs=8, batch_size=1, val_chunk=1, train_n=400, val_n=20, grad_clip=1.0, seed=42, rationale=iter-8 (toward 20): train_n 200->400 (capped ~0.950 across lr/epochs/kernels it2-7; more data to test if val ceiling lifts)
9		0.950305	0.0535082	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=123, rationale=iter-9 (toward 20): seed 42->123 (capped 0.9502 across lr/epochs/kernels/train_n; robustness at the ceiling)
10		0.95015	0.0492685	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-10 (toward 20): loss_base mse->l1 (capped 0.9502 via lr/epochs/kernels/seed; L1 loss is more robust to noise outliers), loss_base=l1
11		0.95015	0.0492686	keep	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, proj_n_bf=3, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=2.0, seed=42, rationale=iter-11 (toward 20): grad_clip 1.0->2.0 (capped 0.9502 across lr/epochs/kernels/proj_n_bf/seed/loss; looser clip = larger updates for the tiny 6-param bilateral model - last untried scalar)
12		0.946389	0	discard	architecture	dual_domain_bilateral_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_supervised-claude-agentic: lr=0.005, proj_n_bf=3, img_n_bf=2, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-12 (toward 20): KNOB=img_n_bf 1->2 (paired with proven proj_n_bf=3). Trend: every scalar flat at 0.9502 (lr 5e-3 peak, epochs flat, seed/loss/grad_clip flat); the ONLY knobs that moved SSIM moved it DOWN via image-domain over-smoothing (img_n_bf=15 -> 0.9333 discard, img_kernel=9 -> 0.9352 discard). img_n_bf was only ever tried at the extreme 15; the modest middle step 1->2 is untested. Hypothesis: a single image-domain BF under-denoises at 0.9502; a 2-filter image cascade adds just enough receptive field to lift SSIM without the over-smoothing collapse seen at depth 15.
