iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.95014	0.1065	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=400, outer_wall_s=3000, lr=0.001, unet_c=16, rationale=iter-1 feasibility, per-image N2I rewrite (commit 1f4c3394). Short warm-start pre-pass (3 ep x 200 train) then per-scene Adam (400 steps) on each of 6 val scans, scored by evaluate_calibrated on the SAME val scenes. grad_clip=1.0 mandatory for Mayo 2304-view FBP adjoint. outer_wall_s=3000 fits the 1h sbatch wall per smoke timing ~0.25 s/(iter x scene): warm ~150s + 6x400x0.25 ~600s.
2		0.950806	0.173772	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=800, outer_wall_s=1500, lr=0.001, unet_c=16, rationale=iter-2 ONE-KNOB: n_iter 400->800 (per-scan Adam steps doubled), all else held at iter-1. HYPOTHESIS (per-scan-fit-undershoot): iter-1 val_score 0.9501 / hr +0.1065 already beats LD-FBP, but the per-image self-supervised fit ran only 400 Adam steps on each val scans own measurements and may be undershooting the per-image optimum; doubling to 800 steps lets each scan settle closer to convergence and should lift val_score above 0.9501. To keep iter-2 wall <=15 min per six-box box-5, val_n dropped 6->4 (smoke ~0.25 s/(iter x scene): warm ~150s + 4x800x0.25 ~800s ~16 min; outer_wall_s=1500 caps it). DO NOT revert to amortized; this is the per-image N2I rewrite (commit 1f4c3394).
3		0.950183	0.040195	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=400, outer_wall_s=1500, lr=0.001, unet_c=32, rationale=iter-3 ONE-KNOB: unet_c 16->32 (per-domain SmallUNet denoiser capacity doubled in BOTH proj+img domains), all else held at iter-1/2; n_iter reset 800->400 (iter-1 value) to respect the <=15min wall now that each step is ~2-3x slower at c=32. HYPOTHESIS (denoiser-capacity-bound): iter-2 doubling n_iter 400->800 lifted val only 0.9501->0.9508 (+0.0007), so the per-scan Adam fit has CONVERGED -- n_iter is saturated and is NOT the lever. The 0.9508 plateau is therefore the c=16 SmallUNet's REPRESENTATIONAL ceiling, not a step-budget undershoot. Doubling unet_c 16->32 gives the per-image denoiser the expressive capacity to recover finer structure on each val scan's own measurements and should lift val above 0.9508. Wall: c=32 ~2-3x s/step; warm 3ep + 4 scenes x 400 steps capped by outer_wall_s=1500 (~<=15min). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
4		0.954137	0.190511	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=400, outer_wall_s=1500, lr=0.0003, unet_c=16, rationale=iter-4 ONE-KNOB: per-scan Adam lr 1e-3->3e-4. unet_c RESET 32->16 (back to the 0.9508 baseline; iter-3's c=32 did NOT help -> +capacity is not the lever); n_iter held at 400, all other knobs at iter-1/2 baseline. FAILURE MODE: across iters 1-3 neither optimization budget (n_iter 400->800: SSIM 0.9501->0.9508 PSNR 37.53->38.21, marginal) NOR capacity (unet_c 16->32: SSIM 0.9508->0.9502, PSNR 38.21->36.90, NO gain) moved the 0.9508 plateau. So the lever is NOT optimization budget or model size -- it is the REGULARIZATION / operating-point of the per-image self-supervised fit. HYPOTHESIS (per-scan-overfit-anchor): mirrors the demo_dl n2i sibling -- per-image U-Net N2I has NO early-stop in the per-scan loop, so each single scan can OVERFIT its own (GT-free, angular-subset) measurements; on demo, more steps made it WORSE and the FIX was lowering the per-scan lr to stay near the warm-start init. Dropping lr 1e-3->3e-4 anchors each per-scan Adam fit near the GT-free warm-start initialisation (solver shares cfg['lr'] for both the warm-start pre-pass and the per-scan fit, ddssl_ldct-free solver lines 122 & 239), trading raw fit for regularization and should lift val above 0.9508. Wall: identical step count to iter-1 (unet_c=16, n_iter=400, val_n=4) which ran ~13.5 min; outer_wall_s=1500 caps it <=15 min. grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
5		0.94794	0.134386	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=400, outer_wall_s=1500, lr=0.0001, unet_c=16, rationale=iter-5 ONE-KNOB: shared Adam lr 3e-4->1e-4 (per-scan-fit + warm-start both read cfg['lr'], solver_dual_ddomain_n2i lines 122 & 239). All other knobs held at the iter-4 WINNING baseline (n_iter=400, unet_c=16, pretrain_epochs=3, warm_start=True, val_n=4, grad_clip=1.0). FAILURE MODE / WHAT WE LEARNED: iters 1-3 proved the plateau is NOT optimization budget (n_iter 400->800: 0.9501->0.9508, marginal) and NOT capacity (unet_c 16->32: 0.9508->0.9502, NO gain). iter-4 broke the 0.9508 plateau to 0.9541 (+0.0033) by dropping lr 1e-3->3e-4 -- the per-image self-supervised fit has NO early-stop in the per-scan loop, so each single val scan can OVERFIT its own GT-free angular-subset measurements; lowering lr anchors each per-scan Adam fit near the GT-free warm-start init, trading raw fit for regularization. The REGULARIZATION/anchor lever is the only one that moves this solver. HYPOTHESIS (anchor-still-has-room): the demo_dl N2I sibling's BEST per-scan lr is 1e-4, one notch below iter-4's 3e-4; if the +0.0033 gain at 3e-4 came from anchoring nearer the warm-start init, pushing lr further to 1e-4 anchors even tighter and should lift val above 0.9541 (or, if 3e-4 was already the sweet spot, mildly under-fit and regress -- either way it localizes the optimum and tells iter-6 which side of 3e-4 to probe). EXACTLY ONE knob changes (lr); capacity stays at 16 (iter-3 ruled it out), budget stays at 400 (iters 1-2 ruled it out). Wall: identical step count to iter-4 (unet_c=16, n_iter=400, val_n=4) which ran ~13.5 min; outer_wall_s=1500 caps it <=15 min. grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
6		0.955783	0.199212	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=6, n_iter=400, outer_wall_s=1500, lr=0.0003, unet_c=16, rationale=iter-6 ONE-KNOB: warm-start pretrain_epochs 3->6 at the lr=3e-4 WINNER base (lr RESET to iter-4's 3e-4, NOT iter-5's 1e-4; n_iter=400, unet_c=16, val_n=4, grad_clip=1.0 all held). FAILURE MODE / WHAT WE LEARNED: the per-scan lr lever is now LOCALIZED -- lr=3e-4 (iter-4, 0.9541 BEST) is bracketed as the sweet spot: it beats both lr=1e-3 above (iter-1, 0.9501) and lr=1e-4 below (iter-5, 0.9479, which OVER-anchors / under-fits). Optimization budget (n_iter 400->800: 0.9501->0.9508 marginal, iter-2) and capacity (unet_c 16->32: NO gain, iter-3) are both ruled out. The only lever that moves this solver is the REGULARIZATION/anchor: each per-scan Adam fit (no early-stop) is anchored toward the GT-free warm-start init, and lr controls how tightly. HYPOTHESIS (warm-start-anchor-quality): the lr knob is exhausted, so the remaining headroom is a COMPLEMENTARY knob -- the QUALITY of the anchor itself. At only 3 warm-start epochs the amortized N2I pre-pass is under-converged, so the init each per-scan fit anchors to is mediocre; lr=3e-4 keeps the fit close to that mediocre init. Doubling warm-start pretrain_epochs 3->6 gives every per-scan fit a BETTER-converged, more generic starting point (same shared cfg['lr']=3e-4 drives the pre-pass, solver lines 122 & 239), so anchoring near it should lift val above 0.9541. unet_c is NOT touched (iter-3 + campaign-state ruled c16->c32 out as flat). EXACTLY ONE knob changes (pretrain_epochs). Wall: warm-start is +3 epochs x 200 train steps (~150-200s extra on top of iter-4's 616s); per-scene loop unchanged and capped by outer_wall_s=1500 -> <=15 min. grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
7		0.956155	0.195521	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=8, n_iter=400, outer_wall_s=1500, lr=0.0003, unet_c=16, rationale=iter-7 ONE-KNOB: warm-start pretrain_epochs 6->8 at the lr=3e-4 WINNER base (lr=3e-4, n_iter=400, unet_c=16, val_n=4, grad_clip=1.0 all HELD at the iter-6 winning baseline). FAILURE MODE / WHAT WE LEARNED across iters 1-6: (a) optimization budget is saturated (n_iter 400->800: 0.9501->0.9508 marginal, iter-2); (b) capacity is flat (unet_c 16->32: NO gain, iter-3, and campaign-state confirms mayo c16->c32 flat at 0.9508 -- this candidate is DEAD); (c) the per-scan lr lever is LOCALIZED with lr=3e-4 as the bracketed sweet spot (iter-4 0.9541 BEST, beats lr=1e-3 above @iter-1 0.9501 and lr=1e-4 below @iter-5 0.9479 which over-anchors/under-fits). The ONLY remaining lever with a LIVE positive signal is the QUALITY of the warm-start anchor: iter-6 doubled pretrain_epochs 3->6 and lifted val 0.9541->0.9558 (+0.0017), the campaign's freshest gain. HYPOTHESIS (warm-start-anchor-quality-still-climbing): the per-scan Adam fit (no early-stop) is regularized by anchoring toward the GT-free amortized warm-start init; a BETTER-converged init is a better anchor, and iter-6 proved 6 epochs beats 3. If the init has not yet saturated at 6 epochs, pushing the amortized N2I pre-pass to 8 epochs (same shared cfg['lr']=3e-4 drives the pre-pass, solver lines 122 & 239) yields a still-more-generic, better-converged starting point, so each per-scan fit anchored near it should lift val above 0.9558. If instead the warm-start has already converged by ep6, val stays flat -- which localizes the init-quality saturation point and tells iter-8 the anchor lever is exhausted. EXACTLY ONE knob changes (pretrain_epochs 6->8). unet_c NOT touched (iter-3 + campaign-state ruled it out); n_iter NOT touched (iters 1-2 ruled it out); lr HELD at the iter-4/6 winner 3e-4. WALL <=15 min: iter-6 (pretrain=6) ran 792s; warm-start cost is ~58s/epoch (iter-4 pretrain=3 ran 617s -> iter-6 pretrain=6 ran 792s, +3 ep = +175s), so +2 ep ~= +117s -> ~909s ~= 15.2 min, capped by outer_wall_s=1500. This is the LARGEST single-knob warm-start push that respects the <=15 min six-box budget (6->12 would breach it at ~19 min). grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
8		0.954291	0.19266	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=3, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=8, n_iter=400, outer_wall_s=900, lr=0.0003, unet_c=32, rationale=iter-8 ONE-KNOB: per-domain SmallUNet capacity unet_c 16->32, RE-TESTED under the ANCHORED regime (lr=3e-4, pretrain_epochs=8, n_iter=400, grad_clip=1.0 ALL held at the iter-7 winning baseline 0.9562). FAILURE MODE / WHAT WE LEARNED iters 4-7: (a) the per-scan lr lever is LOCALIZED -- lr=3e-4 is the bracketed sweet spot (iter-4 0.9541 beats lr=1e-3 @iter-1 0.9501 above and lr=1e-4 @iter-5 0.9479 below which over-anchors/under-fits). (b) the init-quality lever (warm-start pretrain_epochs) is now DIMINISHING/near-saturated: 3->6 gave +0.0017 (0.9541->0.9558, iter-6) but 6->8 gave only +0.0004 (0.9558->0.9562, iter-7) -- marginal gain/epoch collapsed ~0.00057 to ~0.0002, so pushing pretrain 8->12 would spend the budget on a saturating lever AND breach the 15-min wall (iter-7 noted 6->12 ~19 min). With BOTH lr and init-quality now localized, the prompt's fresh lever is unet_c. HYPOTHESIS (capacity-retest-under-anchor): iter-3 ruled out unet_c 16->32 (0.9508->0.9502, NO gain) but that was at lr=1e-3 -- the OVERFIT regime where every extra per-scan Adam step and every extra parameter let each single GT-free scan overfit its own angular-subset measurements (no early-stop in the per-scan loop). The operating point is now DIFFERENT: lr=3e-4 anchors each per-scan fit near a well-converged 8-epoch warm-start init, so extra capacity may finally be USABLE (express finer per-scan structure) rather than overfitting. If c=32 lifts val above 0.9562, capacity is a live lever once the fit is regularized; if it stays flat/regresses (gain <0.001), it CONFIRMS dual_domain_n2i is converging to its per-image U-Net ceiling (~0.956) on Mayo -- capacity is dead even under the anchor, and the remaining iters document that ceiling. EXACTLY ONE hypothesis knob changes (unet_c 16->32); lr HELD at the iter-4/6/7 winner 3e-4, pretrain HELD at 8, n_iter HELD at 400 (iters 1-2 ruled budget out). WALL <=15 min: c=32 is ~2-3x s/step; iter-3 (c=32, pretrain=3, val_n=4) ran 962s, and pretrain 3->8 adds ~5x58s ~290s of c=32 warm-start, so val_n is dropped 4->3 (-25% of the per-scan loop, established wall-control precedent from iter-2; NOT a hypothesis knob) and outer_wall_s tightened 1500->900 as a HARD per-scene-loop cap to self-truncate <=15 min. grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
9		0.954949	0.192154	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=1.0, seed=1337, warm_start=True, pretrain_epochs=8, n_iter=400, outer_wall_s=1500, lr=0.0003, unet_c=16, rationale=iter-9 ONE-KNOB CEILING-CONFIRMATION PROBE: random seed 42->1337, ALL OTHER KNOBS held at the iter-7 WINNING baseline (lr=3e-4, pretrain_epochs=8, n_iter=400, unet_c=16, val_n=4, grad_clip=1.0, outer_wall_s=1500). FAILURE MODE (per-image U-Net N2I converged on Mayo's 2304-view substrate): across iters 1-8 every CAPACITY/BUDGET/REGULARIZATION lever is now exhausted -- (a) n_iter 400->800: 0.9501->0.9508 marginal, budget SATURATED (iters 1-2); (b) unet_c 16->32 is DEAD on BOTH operating points -- flat at lr=1e-3 (iter-3 0.9508->0.9502) AND flat/regress under the anchored regime (iter-8 c=32 -> 0.9543 < the 0.9562 winner); (c) per-scan lr LOCALIZED, 3e-4 is the bracketed sweet spot (iter-4 0.9541 beats 1e-3 above @iter-1 0.9501 and 1e-4 below @iter-5 0.9479 which over-anchors); (d) warm-start pretrain_epochs DIMINISHING/saturating (3->6 +0.0017 iter-6, 6->8 +0.0004 iter-7). Best = iter-7 0.9562; the recent iter-6/7/8 spread is only 0.9558-0.9562 (delta ~0.0004), suspiciously close to run-to-run noise. HYPOTHESIS (ceiling-is-the-noise-floor): this is a CEILING-CONFIRMATION probe on the UNTRIED seed axis -- not a knob expected to climb. The per-scan Adam fit has stochastic init (warm-start U-Net weights) + stochastic angular-subset/minibatch order, all keyed off cfg['seed']. Changing seed 42->1337 with EVERYTHING else fixed measures the solver's run-to-run variance directly. If val lands within ~+/-0.001 of 0.9562, it CONFIRMS dual_domain_n2i has converged to its ~0.956 per-image U-Net ceiling on Mayo and that the iter-6/7 'gains' (+0.0004/epoch) are inside the noise band -- documenting WHY the ceiling holds (the recent climb was anchor-quality noise, not real headroom). If instead val swings >0.001, it quantifies the variance floor and tells iters 10-20 the honest error bar on every reported number. Either outcome is a clean ceiling read. EXACTLY ONE knob changes (seed); lr/pretrain/n_iter/unet_c/val_n/grad_clip ALL held at the iter-7 winner. WALL <=15 min: identical step count to iter-7 (unet_c=16, n_iter=400, val_n=4) which ran ~792-909s; outer_wall_s=1500 caps it. grad_clip=1.0 mandatory (2304-view FBP adjoint overflows otherwise). Converging to the ~0.956 per-image ceiling toward iter-20. DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
10		0.955594	0.195368	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=4, batch_size=1, grad_clip=0.5, seed=42, warm_start=True, pretrain_epochs=8, n_iter=400, outer_wall_s=1500, lr=0.0003, unet_c=16, rationale=iter-10 ONE-KNOB CEILING-CONFIRMATION PROBE: per-scan/warm-start grad_clip 1.0->0.5 (the gradient-norm clip on the shared Adam fit). ALL OTHER KNOBS held at the iter-7 WINNING baseline (lr=3e-4, pretrain_epochs=8, n_iter=400, unet_c=16, val_n=4, seed=42, outer_wall_s=1500). seed RESET 1337->42 so this isolates grad_clip alone vs the iter-7 winner (0.9562), not against iter-9's seed swap. FAILURE MODE (per-image U-Net N2I converged on Mayo's 2304-view substrate): iters 1-9 exhausted every standard lever -- (a) n_iter 400->800 marginal 0.9501->0.9508 (budget SATURATED, iters 1-2); (b) unet_c 16->32 DEAD on BOTH operating points (iter-3 lr1e-3 0.9508->0.9502; iter-8 anchored 0.9543 < winner); (c) per-scan lr LOCALIZED, 3e-4 bracketed sweet spot (iter-4 0.9541 beats 1e-3@iter-1 0.9501 and 1e-4@iter-5 0.9479); (d) warm-start pretrain_epochs DIMINISHING (3->6 +0.0017 iter-6, 6->8 +0.0004 iter-7); (e) SEED ceiling-confirmation probe iter-9 (42->1337) landed 0.9549, within ~0.0013 of the 0.9562 winner -> CONFIRMS the ~0.956 per-image U-Net noise floor and that the iter-6/7 spread (0.9558-0.9562) is inside the run-to-run variance band. grad_clip is the ONE remaining UNTRIED axis: it has been hard-wired at 1.0 since iter-1 and never probed. HYPOTHESIS (clip-operating-point-is-inert): grad_clip is MANDATORY (the 2304-view FBP adjoint overflows un-clipped, per campaign-state), but its VALUE has never been characterized. Tightening 1.0->0.5 makes each per-scan Adam step more conservative -- a regularization-adjacent change on the same per-scan fit whose lr lever already bracketed at 3e-4. EXPECTED OUTCOME: this is a ceiling-DOCUMENTATION probe, NOT a knob expected to climb. If val lands within ~+/-0.001 of 0.9562, it CONFIRMS the clip value is inert at the converged operating point (the fit is anchor/lr-limited, not clip-limited) -- documenting that grad_clip=1.0 was never silently capping headroom and the ~0.956 ceiling holds regardless of clip tightness. If val swings >0.001, it tells iters 11-20 that clip is a live (and previously unswept) operating-point knob worth a finer sweep. Either outcome is a clean ceiling read on the LAST untried axis. EXACTLY ONE knob changes (grad_clip 1.0->0.5); lr/pretrain/n_iter/unet_c/val_n/seed ALL held at the iter-7 winner. WALL <=15 min: identical step count to iter-7 (unet_c=16, n_iter=400, val_n=4) which ran ~792-909s; grad_clip is free; outer_wall_s=1500 caps it. grad_clip stays ON (>=0.5) -- the 2304-view FBP adjoint overflows if clipping is disabled. Converging to the ~0.956 per-image ceiling toward iter-20. DO NOT revert to amortized; per-image N2I rewrite (commit 1f4c3394).
