iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.958359	0.40252	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=16, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-1 feasibility: DD-UNet c=16 ep=8 lr=1e-4 + grad-clip(1.0)+nonfinite-skip + per-sample ps, train_n=200 stratified across 3 ps-groups. Seeded from validated standalone (val SSIM 0.954 @train_n=579). Hypothesis: trains stably (no NaN) and clears the LD-FBP baseline on the agentic subset.
2		0.959667	0.416997	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-2 KNOB=unet_c 16->24. Trajectory: iter-1 c=16 -> SSIM 0.9584 hr 0.4025. Hypothesis: more denoiser capacity lifts SSIM (demo_dl champion used c=24).
3		0.960754	0.418479	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-3 KNOB=lr 1e-4->2e-4 (keep c=24, the iter-2 winner). Traj: c16/lr1e-4 0.9584 -> c24/lr1e-4 0.9597. Hypothesis: demo_dl champion lr=2.1e-4 converges better; grad-clip guards stability.
4		0.958684	0.410048	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=32, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-4 KNOB=unet_c 24->32 (keep lr=2e-4). Traj: c16 0.9584 -> c24 0.9597 -> c24/lr2e-4 0.9608. Hypothesis: more denoiser capacity continues the monotonic climb.
5		0.957672	0.422366	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=14, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-5 KNOB=epochs 8->14 (revert c=32 -> 0.9587). Best c24/lr2e-4 0.9608, plateauing ~0.96 (val_n=20 noise). Hyp: longer training may sharpen at the converged loss.
6		0.958725	0.408688	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0003, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=1.0, seed=42, rationale=iter-6 KNOB=lr 2e-4->3e-4 (revert epochs=14 -> 0.9577). Best c24/lr2e-4 0.9608 (plateau ~0.96). Hyp: test slightly higher lr at the capacity optimum.
7		0.962643	0.429644	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=0.1, seed=42, rationale=iter-7 KNOB=lambda_neg 1.0->0.1 (revert lr=3e-4). Best c24/lr2e-4 0.9608 (plateau). Hyp: a lighter non-negativity penalty frees the recon to fit truth slightly better.
8		0.959511	0.42165	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=0.0, seed=42, rationale=iter-8 KNOB=lambda_neg 0.1->0.0. Traj: lambda1.0 0.9608 -> lambda0.1 0.9626 (new champion). Hyp: removing the non-negativity penalty entirely edges higher.
9		0.962604	0.426454	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=0.2, seed=42, rationale=iter-9 (toward 20): lambda_neg 0.1->0.2 (it7 0.1=best 0.9626 > 0.0 and 1.0; bracket optimum upward)
10		0.959283	0.407969	keep	architecture	dual_domain_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_supervised-claude-agentic: unet_c=24, lr=0.0002, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, lambda_neg=0.1, seed=123, rationale=iter-10 (toward 20): seed 42->123 (capped ~0.9626 across lr/epochs/lambda_neg; robustness check at the ceiling)
