iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.331644	0.048321	keep	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.0023, batch_size=1, train_n=50, val_n=5, rationale=iter-1 phase-4 retry: copy Hammernik VN's Mayo TPE-winning architecture (T=5, n_filters=24, kernel=11, λ_init=2.3e-3, hr=0.0551) to the 2017 variant. Hypothesis: if the RBF-activation grid has the same effective capacity at the right λ scale, the 2017 variant may clear baseline too.
2		0.204025	0	discard	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=7, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.003, batch_size=1, train_n=50, val_n=5, rationale=iter-2: KNOB=vn_T: 5→7 + vn_lambda_init 2.3e-3 → 3e-3. iter-1 hr=0.0483 (close to VN's 0.0551). Hypothesis: more unroll steps (T=7) gives the RBF activation grid more freedom to absorb data complexity; matching VN's iter-6 corner more closely.
3			0	discard	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0023, batch_size=1, train_n=50, val_n=5, rationale=iter-3: KNOB=vn_n_filters: 24→32. iter-1 (T=5, filters=24) hr=0.0483; iter-2 (T=7, λ↑) REGRESSED to 0. Hypothesis: T=5 was the sweet spot — revert that. Wider filter bank (32) at T=5 may climb above 0.0483 since iter-1 winner had room to absorb data.
4		0.310451	0	discard	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.0023, batch_size=1, train_n=50, val_n=5, rationale=iter-4: KNOB=vn_kernel: 11→7. iter-1 (T=5, filters=24, kernel=11) hr=0.0483 BEST; iter-2 (T=7) regressed to 0; iter-3 (filters=32) regressed/crashed in 5.7s. Revert ALL except kernel — smaller 7×7 receptive field per VN block may reduce overfit, while T=5 and filters=24 stay at the proven sweet spot.
5		0.355083	0.0620814	keep	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.005, batch_size=1, train_n=50, val_n=5, rationale=iter-5: KNOB=vn_lambda_init: 2.3e-3→5e-3. iter-1 winner config (T=5, filters=24, kernel=11) hr=0.0483; iter-2 (T=7) regressed, iter-3 (filters=32) crashed, iter-4 (kernel=7) SSIM 0.310 hr=0. Hypothesis: revert to ALL iter-1 winner params except DC weight — stronger λ (5e-3) pulls more weight from the regularizer relative to data — may shift Mayo's lower-baseline regime above the bar.
6		0.334284	0.0504275	keep	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.01, batch_size=1, train_n=50, val_n=5, rationale=iter-6: KNOB=vn_lambda_init: 5e-3→1e-2 (2×). iter-1 (λ=2.3e-3) hr=0.0483, iter-5 (λ=5e-3) hr=0.0621 (+28%). Hypothesis: still climbing the λ axis at fixed T=5/filters=24/kernel=11 — push λ to 1e-2; if it continues, Mayo's data weight is genuinely weaker than the synthetic regime, calling for heavier regularization.
7		0.333086	0.0495377	keep	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=18, lr=0.0005, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.005, batch_size=1, train_n=50, val_n=5, rationale=iter-7: KNOB=epochs: 12→18. iter-5 (λ=5e-3) hr=0.0621 SWEET SPOT; iter-6 (λ=1e-2) regressed to 0.0504. Revert λ=5e-3, push training budget +50% — if Mayo's RBF grid is undertrained at ep=12, more epochs lifts past 0.0621.
8		0.438146	0.033299	keep	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.001, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.005, batch_size=1, train_n=50, val_n=5, rationale=iter-8: KNOB=lr: 5e-4→1e-3 (2×). iter-5 (ep=12, λ=5e-3, lr=5e-4) hr=0.0621 BEST; iter-6 (λ=1e-2) and iter-7 (ep=18) both regressed. Revert ep+λ to sweet spot, push optimizer lr 2× — if Mayo's RBF grid is undertrained at lr=5e-4, doubling lr at ep=12 may lift past 0.0621 without overshooting.
9		0.228489	0	discard	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=6, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.005, batch_size=1, train_n=50, val_n=5, rationale=iter-9: KNOB=vn_T: 5→6 (untested middle). iter-5 (T=5) hr=0.0621 BEST; iter-2 (T=7) regressed; lr=1e-3 iter-8 regressed. Hypothesis: T=6 is the untested middle between proven T=5 and failed T=7 — one more unroll step may add expressivity without the T=7 overfit.
10		0.291865	0	discard	architecture	hammernik-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik-claude-agentic: epochs=12, lr=0.0005, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.005, batch_size=1, train_n=50, val_n=5, rationale=iter-10: KNOB=vn_n_filters: 24→16 (untested smaller). T=5 confirmed sweet (T=6 collapsed, T=7 regressed); filters=32 crashed; tested filters=24 ceiling at 0.0621. Hypothesis: smaller RBF activation grid (16) may be the sweet spot at T=5 — less overfit potential, simpler regularization landscape.
