iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.876009	0	discard	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-1 feasibility: Hammernik-2017 variational network (image-space FBP denoiser, VN architecture from CONFIG) + grad-clip + per-sample ps, train_n=200 stratified. Hyp: VN trains stably (no NaN) and clears the LD-FBP baseline.
2		0.894409	0.0807328	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-2 KNOB=lr 1e-4->5e-4. iter-1 lr=1e-4 -> 0.876 (below the 0.934 baseline, under-trained — same signature as LPD at low lr). Hyp: higher lr trains the VN proximals -> clears baseline.
3		0.828928	0	discard	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-3 KNOB=lr 5e-4->1e-3. Traj: lr1e-4 0.876 -> 5e-4 0.8944 (hr 0.08, cleared baseline). Hyp: lr still climbing for the VN (same signature as LPD); push to 1e-3.
4		0.91013	0.136029	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=14, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-4 KNOB=epochs 8->14 (lr=1e-3 overshot; lr=5e-4 0.8944 hr0.08 optimum). Hyp: more epochs trains the VN further at its lr optimum -> higher hr.
5		0.927325	0.214576	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=20, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-5 KNOB=epochs 14->20. Traj: ep8 0.8944(hr0.08) -> ep14 0.9101(hr0.14). Hyp: epochs still training the VN; 20 lifts hr further.
6		0.906967	0.225057	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=28, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-6 KNOB=epochs 20->28. Traj: ep8 0.8944 -> ep14 0.9101 -> ep20 0.9273 (hr 0.21). Hyp: epochs still training the VN; 28 lifts hr further.
7		0.934451	0.26	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=24, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-7 KNOB=epochs 20->24 (ep28 overshot to 0.9070; ep20 best 0.9273). Hyp: epochs=24 between the ep20 peak and ep28 overfit; if not >0.9273, park (lr+epochs both mapped, hr 0.21 solid).
8		0.939421	0.280088	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=26, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-8 KNOB=epochs 24->26. Traj: ep20 0.9273 -> ep24 0.9345 (hr 0.26), ep28 0.9070 (overshoot). Hyp: peak is between 24-28; 26 refines it.
9		0.943292	0.288233	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=30, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-9 KNOB=epochs 26->30. Traj: ep20 0.9273 -> ep24 0.9345 -> ep26 0.9394 (climbing, ep28 0.907 was noise). Hyp: epochs still climbing; if <0.9394 the VN peaks ~26 and gets parked (hr 0.28 solid).
10		0.94837	0.320264	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=38, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=3000, seed=42, rationale=iter-10 KNOB=epochs 30->38. Traj: ep24 0.9345 -> ep26 0.9394 -> ep30 0.9433 (monotonic climb, ep28 0.907 was noise). Hyp: epochs still the lever; push to 38.
11		0.948218	0.320568	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=50, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=3000, seed=42, rationale=iter-11: epochs 38->50 (only knob). Monotonic epochs climb continues (ep30 0.9433 -> ep38 0.9484, +0.0051, slowing). Push to 50 to locate the 0.018M-VN plateau; if gain <+0.003 here, park near ceiling.
12		0.948289	0.320497	keep	architecture	hammernik_2017-claude-agentic-breast-ct	claude-opus-4.7-1m	hammernik_2017-claude-agentic: lr=0.0005, epochs=53, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=3000, seed=42, rationale=iter-12 (toward 20): epochs 38->53 (climbs with epochs: ep30 0.9433 -> ep38 0.948; push further, 2h safety)
