iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.828746	0	discard	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=8, pretrain_lr=0.0002, itnet_k=3, unet_c=24, rationale=iter-1 feasibility: ItNet v1 (UNet denoiser on truth + k=3 DC), per-sample ps_eff + grad-clip; mirror itnet-v3 knobs k=3/unet_c=24; pretrain_lr=2e-4
2		0.953571	0.35584	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=8, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-2: itnet_k 3->1. iter-1 0.8287 < in-solver LD-FBP ~0.918; LD sinogram is noisy so k=3 DC steps re-inject noise into the denoised image. Fewer DC iters -> output stays near the clean denoiser -> SSIM up.
3		0.962914	0.413641	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=24, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-3: pretrain_epochs 8->24 (only knob; itnet_k stays 1, the iter-2 winner 0.83->0.954). Denoiser undertrained at 8ep/lr=2e-4; more epochs -> cleaner denoiser -> SSIM up. Warm compute ~2.5min so affordable.
4		0.966687	0.441395	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=40, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-4: pretrain_epochs 24->40 (only knob; k=1 locked). Epochs lever climbing 8ep 0.9536 -> 24ep 0.9629 (+0.0093); push to 40 for denoiser ceiling, approaching ITNet-v3 sibling 0.9657.
5		0.959161	0.404875	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=40, pretrain_lr=0.0002, itnet_k=1, unet_c=32, rationale=iter-5: unet_c 24->32 (only knob; k=1, pretrain_epochs=40 kept). Epochs gains diminishing (ep24 0.963 -> ep40 0.967, +0.0038); add denoiser capacity to chase USwin 0.9689.
6		0.969138	0.444693	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=56, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-6: pretrain_epochs 40->56 (from iter-4 best 0.9667; iter-5 unet_c=32 HURT 0.967->0.959 so capacity stays 24). Final epochs push to chase USwin 0.9689.
7		0.960061	0.469976	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, val_n=60, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=56, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-7 STAGE-CHECK: re-run iter-6 best (pretrain_epochs=56) at val_n=60 (vs 20) to confirm 0.9691 is signal not val-noise (+-0.01 floor at n=20) - does the 0.52M itnet-v1 genuinely tie/edge USwin 0.9689?
8		0.969955	0.447255	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=56, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-8 (toward 20): itnet_alpha 0.1->0.05 (only knob; k=1/epochs=56 best). Softer DC step -> less LD-noise re-injection; tests the DC magnitude lever past k=1., val_n=20, itnet_alpha=0.05
9		0.968875	0.448359	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=56, pretrain_lr=0.0002, itnet_k=1, unet_c=24, rationale=iter-9 (toward 20): itnet_alpha 0.05->0.02 (only knob; k=1/epochs=56). alpha 0.1->0.05 gave +0.0009 to 0.9700; softer DC still climbing?, val_n=20, itnet_alpha=0.02
10		0.968632	0.44255	keep	architecture	itnet-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet-claude-agentic: train_n=200, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, pretrain_epochs=56, pretrain_lr=0.0004, itnet_k=1, unet_c=24, rationale=iter-10 (toward 20): pretrain_lr 2e-4->4e-4 (only knob; alpha=0.05 best from iter-8, alpha=0.02 hurt). Denoiser lr at the ceiling., val_n=20, itnet_alpha=0.05
