iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.266603	0	discard	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=3, pretrain_lr=0.00026, itnet_k=4, itnet_alpha_init=0.0026, residual_learning=True, unet_c=16, train_n=50, val_n=5, rationale=iter-1 phase-4 retry: breast-CT TPE-winning config (pre_ep=3, k=4, residual=True, c=16, α=2.6e-3, hr=0.5386). Hypothesis: residual_learning=True + lower α_init lets v2 explore corners v1 cannot.
2		0.213629	0	discard	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=5, pretrain_lr=0.00026, itnet_k=2, itnet_alpha_init=0.01, residual_learning=True, unet_c=24, train_n=50, val_n=5, rationale=iter-2: KNOB=unet_c: 16→24 + α_init 2.6e-3 → 0.01 + k 4→2. iter-1 hr=0, SSIM=0.267. Hypothesis: residual_learning needs MORE per-block capacity (c=24) and SMALLER k (k=2) to keep gradients stable; α_init higher matches v1 default.
3		0.26535	0	discard	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=5, pretrain_lr=0.001, itnet_k=4, itnet_alpha_init=0.005, residual_learning=False, unet_c=16, train_n=50, val_n=5, rationale=iter-3: KNOB=residual_learning: True→False + pretrain_lr 2.6e-4→1e-3. iter-1 (residual=T, k=4, α=2.6e-3) SSIM 0.267; iter-2 (residual=T, k=2, c=24, α=0.01) regressed to 0.214. Hypothesis: residual_learning HURT on Mayo (works on breast-CT but not here); turn off + raise lr 4x.
4		0.269693	0	discard	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=8, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.02, residual_learning=True, unet_c=32, train_n=50, val_n=5, rationale=iter-4: KNOB=itnet_k: 4→1 + unet_c 16→32 + residual F→T. iter-1/2/3 (k=4,2,4) all stuck SSIM 0.21-0.27. Hypothesis: same as v1 iter-4 — collapse k to 1, double c, revert residual=True (v2's default). If both v1 and v2 land near the same SSIM with k=1+c=32, ItNet's structure simply can't fit Mayo well.
5		0.305174	0.0323851	keep	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=8, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.05, residual_learning=False, unet_c=32, train_n=50, val_n=5, rationale=iter-5: KNOB=residual_learning: T→F + itnet_alpha_init 0.02→0.05. iter-4 (k=1, c=32, residual=T, α=0.02) SSIM 0.270 hr=0. v1 SAME arch except α=0.05 fixed + no residual → hr=0.0284. Hypothesis: v2 just needs to be made structurally equivalent to v1's winning corner — same k=1+c=32 but with α_init=0.05 and residual=False — should land near 0.0284.
6		0.337585	0.0854909	keep	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=12, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.05, residual_learning=False, unet_c=32, train_n=50, val_n=5, rationale=iter-6: KNOB=pretrain_epochs: 8→12. iter-5 (k=1, c=32, residual=F, α_init=0.05) → hr=0.0324 OVERTURNED. v1 iter-5 with SAME arch + 12 pretrain epochs hit hr=0.0608 — apply the same recipe to v2.
7		0.345917	0.0655729	keep	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=16, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.05, residual_learning=False, unet_c=32, train_n=50, val_n=5, rationale=iter-7: KNOB=pretrain_epochs: 12→16. iter-5 (ep=8) hr=0.0324, iter-6 (ep=12) hr=0.0855 (+164%!). Hypothesis: still on the steep climb arm — more pretrain epochs continue to lift; +4 more epochs targets +30-50% (~0.11).
8		0.338929	0.0701472	keep	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=12, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.1, residual_learning=False, unet_c=32, train_n=50, val_n=5, rationale=iter-8: KNOB=itnet_alpha_init: 0.05→0.1 (revert ep=12). iter-6 (ep=12, α=0.05) hr=0.0855 SWEET SPOT; iter-7 (ep=16) regressed to 0.0656 — ep=12 is the optimum. Push α_init higher (0.05→0.1) — stronger initial DC weighting may lift past 0.0855.
9		0.373632	0.0591131	keep	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=12, pretrain_lr=0.001, itnet_k=1, itnet_alpha_init=0.05, residual_learning=False, unet_c=24, train_n=50, val_n=5, rationale=iter-9: KNOB=unet_c: 32→24. iter-6 (c=32, ep=12, α=0.05) hr=0.0855 BEST; iter-7 (ep=16) regressed, iter-8 (α=0.1) regressed. Hypothesis: with v2's learnable α, smaller UNet may be enough — c=24 reduces overfit risk vs c=32 at proven ep=12+α=0.05. Mirror v2's α-learning advantage at smaller capacity.
10		0.215914	0	discard	architecture	itnet_v2-claude-agentic-breast-ct	claude-opus-4.7-1m	itnet_v2-claude-agentic: pretrain_epochs=12, pretrain_lr=0.001, itnet_k=2, itnet_alpha_init=0.05, residual_learning=False, unet_c=32, train_n=50, val_n=5, rationale=iter-10: KNOB=itnet_k: 1→2 (revert c=32+ep=12+α=0.05 winner). iter-6 sweet spot 0.0855; iter-7 (ep=16), iter-8 (α=0.1), iter-9 (c=24) all regressed. Hypothesis: same as v1 iter-10 — add one unrolling step at proven sweet spot to escape the k=1 ceiling with learnable α.
