iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.836269	0	discard	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=3, lpd_hidden=48, lr=0.0001, rationale=iter-1 feasibility (CLEAN RESTART; prior 12-iter run dropped per user). LPD I=3 hidden=48 lr=1e-4 + grad-clip+skip + per-sample model.R swap, Mayo val L277. Fresh 20-iter agentic loop.
2		0.885034	0	discard	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=3, lpd_hidden=48, lr=0.0003, rationale=iter-2 (toward 20): lr 1e-4->3e-4 (only knob). iter-1 (lr=1e-4) 0.836 below baseline - proximal blocks under-trained; raise lr.
3		0.932582	0.171845	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=3, lpd_hidden=48, lr=0.0003, rationale=iter-3 (toward 20): epochs None->30 (lr=3e-4 lifted 0.836->0.885; epochs dominant lever once lr set - keep climbing), epochs=30
4		0.931617	0.095134	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=3, lpd_hidden=48, lr=0.0003, rationale=iter-4 (toward 20): epochs 30->60 (steep climb 0.885@ep10 -> 0.9326@ep30; 2h override to find epochs ceiling), epochs=60
5		0.944463	0.208933	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=4, lpd_hidden=48, lr=0.0003, rationale=iter-5 (toward 20): lpd_iters 3->4 REDISPATCH w/ 2h wall (prior timed out at 1h; capacity test, Q6000-limited), epochs=30
6		0.954174	0.310317	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=5, lpd_hidden=48, lr=0.0003, rationale=iter-6 (toward 20): lpd_iters 4->5 (capacity WIN: 3->4 lifted 0.9326->0.9445; push further, 2h wall), epochs=30
7		0.956575	0.347616	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=6, lpd_hidden=48, lr=0.0003, rationale=iter-7 (toward 20): lpd_iters 5->6 (capacity climb: 4->0.9445, 5->0.9542; still rising, 2h wall), epochs=30
8		0.959061	0.342797	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=7, lpd_hidden=48, lr=0.0003, rationale=iter-8 (toward 20): lpd_iters 6->7 (capacity: 5->0.9542, 6->0.9566, diminishing; find the Q6000 ceiling, 2h), epochs=30
9		0.964069	0.363622	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=7, lpd_hidden=48, lr=0.0005, rationale=iter-9 (toward 20): lr 3e-4->5e-4 at lpd_iters=7 (lpd_iters=8 timed out >2h; capacity capped at 7=0.9590; tune lr at best capacity), epochs=30
10		0.963803	0.336872	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=7, lpd_hidden=48, lr=0.0007, rationale=iter-10 (toward 20): lr 5e-4->7e-4 at lpd_iters=7 (lr climb: 3e-4=0.9590, 5e-4=0.9641; push lr further, 2h), epochs=30
11		0.654562	0	discard	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=7, lpd_hidden=48, lr=0.0006, rationale=iter-11 (toward 20): lr 5e-4->6e-4 (lr peak ~5e-4: 3e-4=0.9590, 5e-4=0.9641, 7e-4=0.9638; refine the peak, 2h), epochs=30
12		0.966221	0.400388	keep	architecture	learned_primal_dual-claude-agentic-breast-ct	claude-opus-4.7-1m	learned_primal_dual-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, lpd_iters=7, lpd_hidden=48, lr=0.0005, rationale=iter-12 REDO (toward 20): epochs 30->45 at iter-9 peak (lr=5e-4, lpd_iters=7=0.9641). iter-12 ep45 TIMED OUT at BOTH 1h(764506) and 2h(764562) walls => wall-fit failure, NOT a quality result. Re-doing with a 4h wall so it completes; holds lr+lpd_iters, the ONE knob is epochs. Hypothesis: more epochs lifts 0.9641 if it converges in-wall., epochs=45
