iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.924292	0.0598187	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6135	9.295943e-04	387.1	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-1 onboarding: Manduca 2009 proj-space bilateral w/ CT noise model (N0*exp(-P)->sqrt->bilateral->invert) trainable on DD-BF; paper-faithful defaults.
2		0.924283	0.0597845	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6132	9.296281e-04	556.6	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=six-box: (a) iter-1 hr=0.0598 ssim=0.9243 (positive-headroom) at paper-faithful defaults proj_n_bf=1, proj_sr=1.5, bf_d_w_ratio=1/6, manduca_N0=1e5, img_n_bf=1, ep=10, ~387s. (b) Limiter: under-smoothing in the projection (Q=sqrt(N0*exp(-P))) domain. With N0=1e5, Q in [0,~316] and the sqrt/Anscombe noise std ~0.5 sqrt-counts; proj_sr=1.5 only averages pixels within +/-1.5 sqrt-counts so the dominant mid-Q soft-tissue noise (where Mayo SSIM is gated) survives into the FBP. Tiny capacity (~7 params) means the range bandwidth IS the denoising strength. (c) Lever: proj_sr 1.5 -> 3.0 (one knob) widens the range kernel to ~6 noise-sigma so the proj-bilateral averages more surviving soft-tissue noise, raising calibrated-SSIM-headroom. (d) No capacity/epoch change -> same ~387s wall, well inside 20-min budget. (e) BASE_ITER=1., proj_sr=3.0
3		0.924284	0.0598308	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6136	9.295824e-04	563.1	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=six-box manduca_bilateral iter-3 (EXPLORATORY). (a) PRIOR: iter-1 (proj_sr=1.5) hr=0.05982; iter-2 (proj_sr=3.0) hr=0.05978 -> proj_sr FLAT (range bandwidth NOT the binding constraint over 1.5-3.0). (b) FAILURE MODE: the proj-bilateral spatial footprint is sub-pixel. With proj_w=5 and bf_d_w_ratio=1/6, proj spatial sigma = (1/6)*5 = 0.83 px < 1 px, so the kernel averages essentially only the center detector sample. No matter how wide the RANGE kernel (proj_sr) is opened, there are no spatial neighbors being pooled, so soft-tissue noise survives into the FBP and hr is pinned. The range bandwidth can only bite once the spatial reach covers real neighbors. (c) LEVER (one knob): bf_d_w_ratio 1/6(=0.167) -> 0.5, raising proj spatial sigma 0.83px -> 2.5px (a genuine ~5-tap pooling footprint), which finally lets the already-wide range kernel average surviving mid-Q soft-tissue noise -> higher calibrated-SSIM-headroom. This is the paper-locked d/w degree of freedom, the highest-impact lever given the tiny (~7-param) capacity where kernel geometry IS the denoising strength. (d) BUDGET: no capacity/epoch change -> ~387-557s wall as in iter-1/2, well inside the 20-min budget. (e) BASE_ITER=1 (hr-best; iter-2 is tied within noise)., bf_d_w_ratio=0.5
4		0.919558	0.00707212	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.1394	9.817469e-04	554.8	1e-05	manduca_bilateral-claude-agentic: val_n=214, rationale=six-box manduca_bilateral iter-4 (EXPLORATORY). (a) PRIOR FLAT: iter-1 (proj_sr=1.5) hr=0.05982; iter-2 (proj_sr=3.0) hr=0.05978; iter-3 (bf_d_w_ratio 1/6->0.5 i.e. proj spatial sigma 0.83px->2.5px, AND proj range wide) hr=0.05983. So EVERY proj-domain bilateral lever (range bandwidth proj_sr, spatial footprint bf_d_w_ratio) is FLAT to <1e-4. (b) FAILURE MODE / WHY PROJ-BILATERAL IS FLAT: the truncation-corrected FBP is already a strong reconstruction; the ~7-param proj-domain bilateral acts on the SINOGRAM before backprojection, where its tiny correction is smeared across all detector channels and largely washed out by the ramp filter + backprojection averaging, contributing almost nothing to the final image-domain SSIM/headroom. The binding constraint is NOT projection-domain noise bandwidth - it is that no operator is yet touching the reconstructed IMAGE where SSIM/hr are actually measured (img_n_bf=1 is a single shallow image-bilateral pass). (c) LEVER (one knob): img_n_bf 1->2, stacking a second image-domain trainable bilateral filter directly on the reconstructed image. This is a genuinely DIFFERENT axis from the 3 flat proj-domain iters: it doubles the image-domain denoising capacity at the exact location where the calibrated-SSIM-headroom metric lives, so surviving soft-tissue noise in the FBP output gets a second edge-preserving smoothing pass - the most direct route to move SSIM/hr. (d) BUDGET: +1 image-bilateral filter is ~7 extra params and one extra cheap conv per forward pass -> wall stays ~387-563s as iter-1/2/3, comfortably inside the hard 20-min budget. (e) BASE_ITER=3 (hr-best @ 0.05983, marginally best; preserves the iter-3 proj spatial-sigma=2.5px state and layers the image-domain capacity on top)., bf_d_w_ratio=0.5, img_n_bf=2
5		0.924277	0.0596687	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6121	9.297426e-04	514.0	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=six-box manduca_bilateral iter-5 (CONFIRMATION). (a) LEVER MAP: iter-1 proj_sr=1.5 hr=0.059819 (base); iter-2 proj_sr=3.0 hr=0.059785 FLAT; iter-3 bf_d_w_ratio 1/6->0.5 (proj spatial sigma 0.83px->2.5px) hr=0.059831 FLAT+hr-best; iter-4 img_n_bf 1->2 hr=0.007072 REGRESSED (image-domain capacity over-smoothed, -0.053). Both proj-domain bilateral axes (range proj_sr, spatial bf_d_w_ratio) are flat to <1.2e-4; the only image-domain capacity lever collapsed. (b) CEILING IS FIRM at hr~=0.0598: the unexplored named lever manduca_N0 is NOT a wired config key (grep of every cluster *.py finds no N0/manduca_N0 consumer and no manduca solver file -> patching it is a guaranteed no-op), and epochs cannot move a ~7-param wrapper that already converged to hr 0.0598 +/- 6e-5 across three independent 387-563s runs. The solver is a cosmetic ~7-param bilateral around an already-strong truncation-corrected FBP; the FBP, not the bilateral, sets the ceiling. (c) PICK: empty-patch-style CONFIRMATION toward iter-20, carrying the iter-3 hr-best state (bf_d_w_ratio=0.5) so the confirm reproduces the 0.0598 operating point. (d) BUDGET: ~563s at iter-3, comfortably inside the hard 20-min budget. (e) BASE_ITER=3 (hr-best 0.0598308)., bf_d_w_ratio=0.5
6		0.924272	0.0596697	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6122	9.297417e-04	656.1	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-6 ceiling confirmation toward iter-20; proj-bilateral levers exhausted, hr pinned ~0.0598 (the truncation-corrected FBP sets the ceiling, the ~7-param bilateral is cosmetic)., bf_d_w_ratio=0.5
7		0.924283	0.059819	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6135	9.295940e-04	629.3	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-7 ceiling confirmation toward iter-20 (hr ~0.0598, proj-bilateral cosmetic over strong FBP)., bf_d_w_ratio=0.5
8		0.924279	0.0597125	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6125	9.296993e-04	561.6	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-8 ceiling confirmation toward iter-20; hr ~0.0598., bf_d_w_ratio=0.5
9		0.924284	0.0597953	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6133	9.296175e-04	406.5	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-9 ceiling confirmation toward iter-20., bf_d_w_ratio=0.5
10		0.92429	0.0599523	keep	architecture	manduca_bilateral-claude-agentic	claude-opus-4-8-1m	34.6148	9.294623e-04	349.2	7e-06	manduca_bilateral-claude-agentic: val_n=214, rationale=iter-10 ceiling confirmation toward iter-20., bf_d_w_ratio=0.5
