iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.544794	0.0219132	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=256, gs_outer_wall_s=1500, train_n=2, val_n=2, rationale=iter-1 phase-4 retry: minimal — only 256 Gaussians + 500 iters + train_n=2 to fit within the 30-min sbatch wall. Hypothesis: with sufficiently small budget, the per-scene Gaussian fit may complete and clear baseline; if it times out, iter-2 will shrink to 128 Gaussians + 200 iters.
2		0.522163	2.43576e-05	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=1000, gs_n_gaussians=512, gs_outer_wall_s=1500, train_n=2, val_n=2, rationale=iter-2: KNOB=gs_n_gaussians: 256→512 + gs_n_iter 500→1000. iter-1 hr=0.0219 ABOVE BASELINE with minimal config. Hypothesis: 2× more Gaussians + 2× more iters should still fit in the 30-min wall and improve hr — Gaussian density is the binding constraint.
3		0.534318	0.0110372	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=800, gs_n_gaussians=384, gs_outer_wall_s=1500, gs_lr_pos=0.003, train_n=2, val_n=2, rationale=iter-3: KNOB=gs_n_gaussians: 512→384 + gs_n_iter 1000→800 + add explicit gs_lr_pos=3e-3. iter-1 (256g/500i) hr=0.0219; iter-2 (512g/1000i) regressed to ~0. Hypothesis: 512 was too many for stable optimization on Mayo's 2304-angle sino; 384 is intermediate, and explicit position lr may aid convergence.
4		0.538298	0.0133751	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=1500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.003, train_n=2, val_n=2, rationale=iter-4: KNOB=gs_n_iter: 500→1500 (3×). iter-1 (256g/500i) hr=0.0219 BEST; iter-2 (512g/1000i) regressed to 0; iter-3 (384g/800i) recovered 0.0110. Hypothesis: 256 Gaussians is the sweet density; the optimization needs more iterations to converge at this density — 1500 iters should let each Gaussian reach its final position/opacity, climbing past the 0.0219 iter-1 mark.
5		0.532843	0.00710193	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=2500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.003, train_n=2, val_n=2, rationale=iter-5: KNOB=gs_n_iter: 1500→2500. Trajectory iter-1→4 at 256g: 0.0219 (500i) → 0.0134 (1500i). iter-4 didn't beat iter-1 — more iters at same density should still help if convergence is slow. Hypothesis: 2500 iters lets each Gaussian's position/scale fully relax — push past iter-1 ceiling.
6		0.548871	0.0334879	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.001, train_n=2, val_n=2, rationale=iter-6: KNOB=gs_lr_pos: 3e-3→1e-3 (revert n_iter=500, n_g=256 to iter-1 winner). Trajectory: iter-1 (500i/256g) hr=0.0219; iter-2 (1000i/512g) ~0; iter-3 (800i/384g) 0.0110; iter-4 (1500i/256g, lr=3e-3) 0.0134; iter-5 (2500i/256g, lr=3e-3) 0.0071 — more iters HURTS at lr=3e-3. Hypothesis: lr=3e-3 was too high; revert to lower lr at iter-1 winner config.
7		0.547799	0.0274524	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=800, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.001, train_n=2, val_n=2, rationale=iter-7: KNOB=gs_n_iter: 500→800. iter-6 (256g/500i/lr=1e-3) hr=0.0335 NEW BEST (+53% over iter-1's 0.0219, +375% over iter-5's 0.0071). Hypothesis: at the right lr (1e-3, not 3e-3), more iters now HELP since each step doesn't overshoot — push to 800 iters.
8		0.544304	0.043784	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-8: KNOB=gs_lr_pos: 1e-3→5e-4 (half). iter-6 (500i/lr=1e-3) hr=0.0335 BEST; iter-7 (800i) regressed to 0.0275. Hypothesis: 500i is the sweet density-iter combo; halve gs_lr_pos to let each step do less but more accurately — may produce smoother convergence and beat 0.0335.
9		0.537641	0.0401086	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.0002, train_n=2, val_n=2, rationale=iter-9: KNOB=gs_lr_pos: 5e-4→2e-4 (2.5× lower). iter-6 (lr=1e-3) 0.0335; iter-8 (lr=5e-4) 0.0438 (+31%). Hypothesis: even slower lr continues helping — 2.5× lower may climb past 0.0438 with finer-grained convergence.
10		0.538128	0.034733	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=320, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-10: KNOB=gs_n_gaussians: 256→320 (1.25×, untested density between 256-sweet and 384-regressed). iter-8 (256/500i/lr=5e-4) hr=0.0438 BEST; iter-9 (lr=2e-4) regressed to 0.0401. Hypothesis: density mid-point (320) at proven 500i/lr=5e-4 may climb past 0.0438 — gauge whether ceiling at 256 or higher.
11		0.545781	0.039745	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=700, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-11: KNOB=gs_n_iter: 500→700 (untested mid). 256g/500i/lr=5e-4 hr=0.0438 BEST; 800i (iter-7 lr=3e-3) and 1500i regressed. At correct lr=5e-4, intermediate 700i may improve convergence without overshooting.
12		0.531738	0.0332413	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=4, val_n=4, rationale=iter-12: KNOB=train_n: 2→4 (cross-solver lever, validation set also boosted). R²-Gaussian uses per-scene fitting so train_n=2 was minimal. 256g/500i/lr=5e-4 sweet confirmed; more val slabs may give better hr estimate.
13		0.54547	0.0416485	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=600, gs_n_gaussians=256, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-13: KNOB=gs_n_iter: 500→600 (untested mid, revert train_n=2). iter-12 (train_n=4) regressed to 0.0332. Sweet at 500i/256g/lr=5e-4 hr=0.0438; tested 700i regressed. Hypothesis: 600 may interpolate between sweet 500 and 700 — last density test before declaring ceiling.
14		0.557801	0.0584863	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=192, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-14: KNOB=gs_n_gaussians: 256→192 (untested smaller). 256g sweet at 0.0438; tested 320g (0.0347), 384g (0.0110), 512g (~0) all higher densities regressed. Hypothesis: even smaller (192) may be the true minimum-stable density — last untested below sweet.
15		0.559458	0.0632747	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=128, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-15: KNOB=gs_n_gaussians: 192→128 (continue smaller density direction). iter-14 (192g) hr=0.0585 NEW BEST (+34% over old sweet 256g). Hypothesis: density sweet spot is below 192 — 128g may be even better, last density test.
16		0.566537	0.071033	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=96, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-16: KNOB=gs_n_gaussians: 128→96 (continue smaller direction). Monotonic improvement: 256→192 (0.0438→0.0585, +34%) → 128 (0.0633, +8%). Hypothesis: even sparser Gaussian fit may continue climbing — 96g tests if minimum-stable density is below 128.
17		0.573092	0.0798545	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=64, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-17: KNOB=gs_n_gaussians: 96→64 (continue monotonic sparser direction). Trajectory: 256g (0.0438) → 192g (0.0585) → 128g (0.0633) → 96g (0.0710). Hypothesis: sparser still wins — 64g may continue climb. Last density test.
18		0.575893	0.0844033	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=48, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-18: KNOB=gs_n_gaussians: 64→48 (continue monotonic sparser direction). Trajectory: 256(0.0438) → 192(0.0585) → 128(0.0633) → 96(0.0710) → 64(0.0799). Hypothesis: sparser still wins linearly — 48g may continue +10%. Push until it breaks.
19		0.580282	0.0833721	keep	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_n_iter=500, gs_n_gaussians=32, gs_outer_wall_s=1500, gs_lr_pos=0.0005, train_n=2, val_n=2, rationale=iter-19: KNOB=gs_n_gaussians: 48->32 (continue monotonic sparser direction). Trajectory: 256(0.0438) -> 192(0.0585) -> 128(0.0633) -> 96(0.0710) -> 64(0.0799) -> 48(0.0844). Hypothesis: sparser still wins -- 32g may continue ~+5%.
