iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.298537	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.01, tv_lambda_init=0.001, tv_share_steps=False, tv_clip_max=0.05, epochs=10, lr=0.005, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, train_n=50, val_n=5, rationale=iter-1 phase-4 retry: CONFIG defaults. Same config TPE confirmed hr=0 on demo-DL across 20 trials. Hypothesis on Mayo: data noise structure differs from synthetic, so the FBP-init no-op may not lock here. If iter-1 hr=0, iter-2 will try zero-init or higher K.
2		0.298537	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.01, tv_lambda_init=0.001, tv_share_steps=False, tv_clip_max=0.05, epochs=10, lr=0.005, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, tv_K=30, train_n=50, val_n=5, rationale=iter-2: KNOB=tv_K: 10→30. iter-1 hr=0, SSIM=0.299 confirms FBP-init no-op lock at K=10. Hypothesis: tripling K to 30 gives the GD trajectory more opportunity to escape the FBP-init basin via cumulative step/λ updates.
3		0.298537	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=False, tv_clip_max=0.05, epochs=10, lr=0.005, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, train_n=50, val_n=5, rationale=iter-3: KNOB=tv_step_init: 1e-2→5e-2 + tv_lambda_init 1e-3→1e-2. iter-1 & iter-2 SSIM identical at 0.299 — K had no effect, the FBP-init basin holds. Hypothesis: a 5x larger first step + 10x stronger TV regularization may shock the GD off the FBP minimum and into a different attractor.
4		0.298537	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=0.1, epochs=15, lr=0.01, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, train_n=50, val_n=5, rationale=iter-4: KNOB=tv_share_steps: F→T + tv_clip_max 0.05→0.1 + ep 10→15. iter-1/2/3 all SSIM 0.299 across K and step shocks — FBP-init basin locks. Hypothesis: with share_steps=T (one learned step for all unroll iters) the model has fewer dofs, so SGD spends all gradient on shifting the basin rather than per-step fine-tuning — may finally move.
5		0.377587	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=0.5, epochs=20, lr=0.05, lambda_neg=1.0, loss_base=mse, grad_clip=10.0, train_n=50, val_n=5, rationale=iter-5: KNOB=lr: 1e-2→5e-2 + grad_clip 1.0→10.0 + tv_clip_max 0.1→0.5. iter-4 SSIM=0.298537 — EXACTLY the same as iter-1/2/3 to 6 digits. The basin is gradient-rejecting (lr too small + grad_clip too tight). Hypothesis: 5× larger lr + 10× looser grad_clip + 5× tv_clip_max may finally make the gradient large enough to escape — if THIS doesn't move, the FBP-init basin is a true fixed point of the iterative update.
6		0.380872	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=1.0, epochs=30, lr=0.1, lambda_neg=1.0, loss_base=mse, grad_clip=20.0, train_n=50, val_n=5, rationale=iter-6: KNOB=lr: 5e-2→1e-1 + epochs 20→30 + grad_clip 10→20. iter-5 BREAKTHROUGH: SSIM moved from stuck 0.299 to 0.378 (+27%!) when we 5× lr + 10× grad_clip. Hypothesis: keep pushing the same direction — 2× lr + more ep + looser grad_clip should land closer to the FBP baseline SSIM ~0.47 and may finally produce hr>0.
8		0.333379	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.1, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=2.0, epochs=20, lr=0.2, lambda_neg=1.0, loss_base=mse, grad_clip=50.0, train_n=50, val_n=5, rationale=iter-8: KNOB=epochs: 40→20 (revert from TIMEOUT). iter-7 (lr=2e-1, ep=40) hit walltime at ep=33/40 — config takes ~30s/ep × 40 ep = 20 min plus val. Hypothesis: lr=2e-1 is the right gradient regime (was producing useful SSIM movement); halve epochs to fit the wall and still get val pass. iter-6 (ep=30) gave SSIM 0.381.
9		0.380872	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=1.0, epochs=30, lr=0.1, lambda_neg=1.0, loss_base=mse, grad_clip=100.0, train_n=50, val_n=5, rationale=iter-9: KNOB=grad_clip: 20→100 (5×). iter-6 (lr=1e-1, ep=30, gc=20) SSIM 0.381 BEST; iter-7 (ep=40) timed out; iter-8 (ep=20) regressed to 0.333. Hypothesis: revert ep=30 sweet (fits walltime), push grad_clip 5× — gradient norm at lr=1e-1 may be hitting clip too often, looser gc unleashes the optimizer.
11		0.422992	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=1.0, tv_K=15, epochs=20, lr=0.1, lambda_neg=1.0, loss_base=mse, grad_clip=100.0, train_n=50, val_n=5, rationale=iter-11: KNOB=tv_K: 30→15 (mid, revert from TIMEOUT) + ep 30→20 to fit wall. iter-10 (K=30) TIMEOUT at ep 10/30 (slow convergence). iter-9 (K=10) SSIM 0.381. Hypothesis: K=15 is the untested middle — may compound enough gradient to break basin while fitting walltime.
13		0.388478	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=1.0, tv_K=15, epochs=15, lr=0.1, lambda_neg=1.0, loss_base=mse, grad_clip=100.0, train_n=50, val_n=5, rationale=iter-13: KNOB=epochs: 25→15 (revert from TIMEOUT). iter-11 (ep=20) SSIM 0.423; iter-12 (ep=25) TIMEOUT at ep=22 (loss converged 1.58e-4). Hypothesis: model converged by ep=15-22; shorter run fits walltime to extract val pass. At new K=15 + lr=1e-1 gradient regime, may still climb past FBP.
14		0.37559	0	discard	architecture	tv_iterative_supervised-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative_supervised-claude-agentic: tv_step_init=0.05, tv_lambda_init=0.01, tv_share_steps=True, tv_clip_max=1.0, tv_K=20, epochs=18, lr=0.1, lambda_neg=1.0, loss_base=mse, grad_clip=100.0, train_n=50, val_n=5, rationale=iter-14: KNOB=tv_K: 15→20 (deeper unroll) + ep 15→18. iter-11 (K=15, ep=20) SSIM 0.423 BEST; iter-12 (ep=25) TIMEOUT; iter-13 (ep=15) regressed. Hypothesis: K=20 may compound more gradient at moderate ep=18 (fits walltime ~25 min) — last unroll-depth test.
