iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.945996	0.334534	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=16, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-1 feasibility: USwin c=16 + grad-clip + per-sample ps, train_n=200 stratified. Onboarded into DD-BF parked slot. Hyp: the Swin-UNet image denoiser trains stably (no NaN) and clears the LD-FBP baseline.
2		0.950319	0.356175	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0001, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-2 KNOB=uswin_c 16->24. iter-1 c=16 -> SSIM 0.9460 hr 0.3345 (strong). Hyp: more Swin channels add denoising capacity -> higher SSIM.
3		0.955548	0.381272	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-3 KNOB=lr 1e-4->5e-4 (USwin solver default). Traj: c16/lr1e-4 0.9460 -> c24/lr1e-4 0.9503. Hyp: lr=1e-4 under-trains USwin (cf LPD); the 5e-4 default trains it more -> higher SSIM.
4		0.954257	0.341307	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0008, epochs=8, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-4 KNOB=lr 5e-4->8e-4. Traj: lr1e-4 0.9503 -> 5e-4 0.9555. Hyp: lr still helping for USwin; push a bit higher (avoid LPD-style overshoot).
5		0.959505	0.393465	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=14, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-5 KNOB=epochs 8->14 (lr=8e-4 regressed; lr=5e-4 0.9555 optimum). Hyp: more epochs trains USwin further at its lr optimum.
6		0.965885	0.430644	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=20, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, seed=42, rationale=iter-6 KNOB=epochs 14->20. Traj: ep8 0.9503 -> ep14 0.9595. Hyp: epochs still climbing for USwin at lr=5e-4 optimum.
7		0.966535	0.424611	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=28, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=2400, seed=42, rationale=iter-7 KNOB=epochs 20->28. Traj: ep8 0.9503 -> ep14 0.9595 -> ep20 0.9659 (champion). Hyp: epochs still climbing; 28 pushes the leader higher.
8		0.968895	0.438074	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=36, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=3000, seed=42, rationale=iter-8 KNOB=epochs 28->36. Traj: ep20 0.9659 -> ep28 0.9665 (flattening +0.0006). Hyp: final epochs push; if <0.001 gain, USwin has plateaued ~0.967 and gets parked.
9		0.967459	0.438844	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=44, batch_size=1, val_chunk=1, train_n=200, val_n=20, grad_clip=1.0, max_train_s=3000, seed=42, rationale=iter-9 KNOB=epochs 36->44. Traj: ep28 0.9665 -> ep36 0.9689 (+0.0024, still climbing). Hyp: epochs still the lever; push to 44.
9		0.963851	0.46352	keep	architecture	uswin-claude-agentic-breast-ct	claude-opus-4.7-1m	uswin-claude-agentic: uswin_c=24, lr=0.0005, epochs=36, batch_size=1, val_chunk=1, train_n=200, val_n=60, grad_clip=1.0, max_train_s=3000, seed=42, rationale=stage-check: USwin best (iter-8, epochs=36) at val_n=60 for fair comparison vs itnet-v1 0.9601@60 (val_n=20 inflated: 0.9689@20). Validation only - does not change the n=20 leaderboard row.
