iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.741238	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=8, lr=0.01, rationale=iter-1 feasibility: trainable-Wu-2015 (sinogram-domain band recon + 2x-dense residual), per-sample ps_eff (proj+dense_proj swapped per slice) + grad-clip; epochs=8 lr=1e-2 (few scalar knobs)
2		0.745697	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=8, lr=0.03, rationale=iter-2: lr 1e-2->3e-2. iter-1 recon (0.7412) is smoothed and below LD-FBP; Wu few scalar band-knobs undertrained at 8ep/lr=1e-2. Higher lr converges them (grad-clip protects). Tests undertraining vs structural smoothing.
3		0.908578	0.00419101	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=8, lr=0.03, rationale=iter-3: wu_n_outer 2->1 (only knob). lr bump did nothing (0.741->0.746, still <FBP 0.918); soft-thresholded dense residual likely removes detail - fewer outer passes preserve structure., wu_n_outer=1
4		0.908582	0.0096774	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.03, rationale=iter-4: epochs 8->24 (only knob; wu_n_outer=1 kept). n_outer 2->1 fixed over-smoothing (0.746->0.909~FBP, hr 0.004); more epochs lets band/threshold knobs converge to denoise + beat FBP., wu_n_outer=1
5		0.897159	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.03, rationale=iter-5: wu_n_bands 4->6 (only knob; n_outer=1 kept). wu plateaued at ~FBP (epochs flat 0.9086->0.9086, hr~0.01); finer frequency bands may let band-modulation suppress noise bands + denoise beyond FBP. If flat, file Wu-2015 FBP-bounded on LDCT., wu_n_outer=1, wu_n_bands=6
6		0.500837	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.03, rationale=iter-6 (toward 20): wu_n_outer 1->0 (only knob). Bracket the 2->1 sweep (0.75->0.91) - does the band-FBP base alone (no residual) match 1 pass? Isolates the residual net effect., wu_n_outer=0
7		0.909763	0.0224849	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.03, rationale=iter-7 (toward 20): wu_motion_range 5->3 (only knob; n_outer=1 best base). n_outer bracket done (0=0.50,1=0.91,2=0.75); explore motion-comp window from the optimum., wu_n_outer=1, wu_motion_range=3
8		0.909993	0.0353366	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.03, rationale=iter-8 (toward 20): wu_motion_window 2->3 (only knob; motion_range=3/n_outer=1 best 0.9098 hr0.022). Wider feature-preserving window., wu_n_outer=1, wu_motion_range=3, wu_motion_window=3
9		0.909801	0.022161	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=40, lr=0.03, rationale=iter-9 (toward 20): epochs 24->40 (capped ~0.910 across n_bands/motion it5-8; epochs untried, dominant lever), wu_n_outer=1, wu_motion_range=3, wu_motion_window=3
10		0.911353	0.0508137	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=42, epochs=24, lr=0.01, rationale=iter-10 (toward 20): lr 0.03->0.01 (capped ~0.910 across n_bands/motion/epochs; lr sensitivity probe), wu_n_outer=1, wu_motion_range=3, wu_motion_window=3
11		0.913488	0.0783341	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: train_n=200, val_n=20, batch_size=1, val_chunk=1, grad_clip=1.0, seed=123, epochs=24, lr=0.03, rationale=iter-11 (toward 20): seed 42->123 (capped 0.911 via n_outer=1/epochs/motion; robustness at the ceiling), wu_n_outer=1, wu_motion_range=3, wu_motion_window=3
