iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.345201	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-1 phase-4 retry: breast-CT TPE winner config (n_bands=6, range=8, ep=13, lr=1.1e-4 — 10× lower than agentic, hr=0.3170). Hypothesis: the +45% breast-CT lift came from lowering lr; same may rescue Wu trainable on Mayo.
2		0.327185	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=8, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0005, epochs=20, lr=5e-05, batch_size=1, lambda_neg=0.5, loss_base=mse, train_n=50, val_n=5, rationale=iter-2: KNOB=lr: 1.1e-4 → 5e-5 + ep 13→20 + n_bands 6→8 + λ_neg 0.7→0.5. iter-1 hr=0, SSIM=0.345. Hypothesis: even lower lr + more epochs + more bands may catch the right combo on Mayo (breast-CT used 10× lower lr than agentic; try 20× now).
3		0.345203	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=1.5, loss_base=mse, train_n=50, val_n=5, rationale=iter-3: KNOB=lambda_neg: 0.7→1.5. iter-1 (λ_neg=0.7) SSIM 0.345; iter-2 (lr down, ep up, λ_neg 0.5) regressed to 0.327. Hypothesis: revert to iter-1 lr/ep but PUSH non-negative penalty up (λ_neg=1.5) — Mayo μ is bounded [0, 0.0306], so harsher non-neg may help fit truth.
4		0.347799	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-4: KNOB=wu_motion_window: 2→1. iter-1/3 (λ_neg 0.7/1.5) both SSIM 0.345, iter-2 (lr↓) regressed 0.327. Hypothesis: the 0.345 ceiling comes from motion-averaging blur (window=2 means averaging over 2 sub-bands × 2 motions = 4 patches per pixel); window=1 removes the over-smoothing — sharp boundaries may push hr>0.
5		0.327937	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-5: KNOB=wu_n_outer: 2→3. iter-1 (n_outer=2) SSIM 0.345, iter-4 (motion_window=1) regressed to 0.348. Hypothesis: an extra outer iteration (3 vs 2) at proven n_bands=6 may refine residual estimation and finally cross the 0.345 ceiling. Parallel to Wu non-trainable iter-6 — if both solvers benefit from n_outer=3, the per-iter denoise-then-rerun loop is undertrained at 2.
6		0.351374	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=20, lr=0.001, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-6: KNOB=lr: 1.1e-4→1e-3 (9×) + ep 13→20. iter-1/3/4 SSIM 0.345-0.348, iter-5 (n_outer=3) regressed to 0.328. Hypothesis: lr=1.1e-4 from breast-CT transfer may be too low for Mayo's broader μ-range; push lr 10× higher with more ep to absorb data — if SSIM > 0.358 with this lr, the breast-CT lr lift doesn't transfer.
7		0.330504	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.005, epochs=13, lr=0.00011, batch_size=1, lambda_neg=2.0, loss_base=mse, train_n=50, val_n=5, rationale=iter-7: KNOB=lambda_neg: 0.7→2.0 (3×) + soft_thresh 1e-3→5e-3 (5×). iter-6 (lr 9×) SSIM 0.351, marginal up. Revert lr to breast-CT winner, but DOUBLE penalty/threshold to push estimator into a denser-prior corner. If still <0.358, the closed-form structure is the ceiling.
8		0.34466	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=40, lr=0.00011, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-8: KNOB=epochs: 13→40 (3×). iter-1 (breast-CT winner) SSIM 0.345 — best. iter-3 to iter-7 explored lr, n_outer, window, λ_neg, soft_thresh — all ≤ 0.351. Hypothesis: more training time at proven iter-1 config — 40 ep may extract more signal from the trainable Wu-2015 layers before declaring structural ceiling.
9		0.345203	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=0.0, loss_base=mse, train_n=50, val_n=5, rationale=iter-9: KNOB=lambda_neg: 0.7→0.0 (untested zero). All Wu trainable knobs explored (capacity/motion/lr/ep/λ_neg ≥ 0.5/soft). λ_neg=0 removes the non-negativity penalty entirely — may free the estimator to learn corrections that the penalty was suppressing. If still ≤0.351, Wu trainable is also structurally bounded at iter-10 STOP threshold.
10		0.322254	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=4, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.001, epochs=13, lr=0.00011, batch_size=1, lambda_neg=0.7, loss_base=mse, train_n=50, val_n=5, rationale=iter-10: KNOB=wu_n_outer: 2→4 (2×). iter-1..9 explored capacity (n_bands), motion (range/window), reg (λ_neg/soft), optimizer (lr/ep). 9 iters at hr=0, SSIM ceiling 0.351. Try untested n_outer=4 (4× outer iterations at iter-1 base config). If iter-10 SSIM ≤ 0.351, Wu trainable hits STOP eligibility (10 iters, 4+ families, paper-edge covered).
